Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Accrued Expenses,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
113385050.0,113385050.0,1237180695.0,1466722489.0,4378461798.0,5853512254.0,1985294886.0,4378461798.0,4386789765.0,4715684765.0,4386789765.0,4386789765.0,4273404715.0,,,113385050.0,113385050.0,2270883222.0,565043059.0,8466506.0,,110758003.0,328895000.0,328895000.0,107114464.0,1705840163.0,205365198.0,,1137827489.0,1137827489.0,14147660.0,196590328.0,,,27482514.0,169107814.0,6657672987.0,2966537938.0,40535470.0,,,,1914516660.0,1914516660.0,,,,8327967.0,8327967.0,1003157841.0,,1003157841.0,0.0,1003157841.0,,,,,3691135049.0,129476309.0,23950068.0,,,2047544953.0,,,,,226803.0,292027310.0,,,1197909606.0,968367812.0,229541794.0,,,2024-03-31
113385050.0,113385050.0,536095000.0,912924000.0,4294167000.0,5226473000.0,2031617000.0,4294167000.0,4313549000.0,4775827000.0,4313549000.0,4313549000.0,4200164000.0,,,113385000.0,113385000.0,1597113000.0,638109000.0,1000.0,,64516000.0,462278000.0,462278000.0,95585000.0,959004000.0,197139000.0,,450646000.0,450646000.0,40781000.0,40355000.0,,,,40355000.0,5910662000.0,2920041000.0,40347000.0,,0.0,,1868636000.0,1868636000.0,,,,19382000.0,,991676000.0,,991676000.0,27445000.0,964231000.0,,,,,2990621000.0,235548000.0,43508000.0,,,974670000.0,,,,,263009000.0,331931000.0,,,1141955000.0,765126000.0,376829000.0,,376829000.0,2023-09-30
113385050.0,113385050.0,1471183000.0,1845966000.0,3709957000.0,5564272000.0,1916734000.0,3709957000.0,3718306000.0,4155700000.0,3718306000.0,3718306000.0,,2416042000.0,15545000.0,113385000.0,113385000.0,2560286000.0,600170000.0,8287000.0,6012000.0,35262000.0,437394000.0,437394000.0,110552000.0,1960116000.0,18416000.0,0.0,1408572000.0,1408572000.0,17458000.0,182405000.0,35769000.0,6916000.0,0.0,139720000.0,6278592000.0,2401742000.0,40347785.0,49595000.0,0.0,1387392338.0,714148000.0,500000.0,713648000.0,59268000.0,59268000.0,8349000.0,8349000.0,956406000.0,-428471000.0,1384877000.0,609000.0,15000.0,761252000.0,336264000.0,286737000.0,0.0,3876850000.0,93576597.0,43527000.0,96534000.0,94544000.0,2301839000.0,67000.0,2082052000.0,58640000.0,161080000.0,34278000.0,221085000.0,-21566000.0,242651000.0,1085043000.0,710260000.0,374783000.0,342081000.0,32702000.0,2023-03-31
