Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Provisions,Current Liabilities,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Other Investments,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Other Current Liabilities,Other Current Assets
11428568.0,11428568.0,270167300000.0,270167300000.0,130400000.0,270167300000.0,270167300000.0,270167300000.0,270167300000.0,270167300000.0,270053000000.0,,114300000.0,114300000.0,23771800000.0,23732000000.0,7900000.0,,,,23655400000.0,9200000.0,39800000.0,39800000.0,,,38400000.0,1400000.0,293939100000.0,293768900000.0,5200000.0,,,293663100000.0,,293663100000.0,100600000.0,,100600000.0,0.0,100600000.0,,,,,170200000.0,,,36600000.0,,,,,58400000.0,17700000.0,,,57500000.0,50500000.0,7000000.0,,2024-03-31,,
11428568.0,11428568.0,247371600000.0,247371600000.0,268060000000.0,247371600000.0,247371600000.0,247371600000.0,247371600000.0,247371600000.0,247257300000.0,,114300000.0,114300000.0,22156700000.0,20803200000.0,10500000.0,,,,20786600000.0,6100000.0,1353500000.0,41800000.0,,,38300000.0,3500000.0,269528300000.0,114800000.0,4000000.0,,,,,,110800000.0,,110800000.0,0.0,110800000.0,,,,,269413500000.0,,,38900000.0,,,,,46900000.0,32900000.0,,,269294800000.0,269292100000.0,2700000.0,,2023-09-30,,
11428568.0,11428568.0,190428111000.0,190428111000.0,120392000.0,190428111000.0,190428111000.0,190428111000.0,190428111000.0,190428111000.0,190313800000.0,2442948000.0,114286000.0,114286000.0,13554758000.0,13514551000.0,,17247000.0,54739000.0,1010000.0,13441530000.0,7400000.0,40207000.0,40207000.0,10639000.0,48036000.0,38280000.0,1927000.0,203982869000.0,203822270000.0,39555000.0,6207000.0,165346000.0,203527844000.0,1749910000.0,201777934000.0,119762000.0,-238653000.0,358415000.0,0.0,,301111000.0,57002000.0,302000.0,0.0,160599000.0,48036000.0,4669000.0,38017000.0,154000.0,24631000.0,13232000.0,54640000.0,4979000.0,65427000.0,0.0,65427000.0,4140000.0,500000.0,3640000.0,3640000.0,2023-03-31,,
