Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Other Investments,Held To Maturity Securities
296424825.0,296424825.0,45209100000.0,50305400000.0,113595000000.0,163992600000.0,1685200000.0,113595000000.0,1103000000.0,114790200000.0,137301600000.0,114790200000.0,114790200000.0,111815800000.0,,,2974400000.0,2974400000.0,90029200000.0,35221500000.0,1773100000.0,,,,,9387200000.0,23339300000.0,827900000.0,22511400000.0,713900000.0,54807700000.0,936100000.0,,26966100000.0,275100000.0,26691000000.0,,87700000.0,22143600000.0,,,166000000.0,21977600000.0,204819400000.0,148326500000.0,1784200000.0,,275600000.0,,3187200000.0,3187200000.0,1195200000.0,1195200000.0,,139274300000.0,,139274300000.0,8053300000.0,131221000000.0,,,,,56492900000.0,3557600000.0,,,,,23264700000.0,,,,130900000.0,,19428200000.0,,,10111500000.0,6118200000.0,3993300000.0,,,2024-03-31,,
296424825.0,296424825.0,44676400000.0,49761000000.0,107350200000.0,157089900000.0,3336900000.0,107350200000.0,1189200000.0,108518100000.0,132373700000.0,108518100000.0,108518100000.0,105543700000.0,,,2974400000.0,2974400000.0,88027600000.0,36124900000.0,1711800000.0,,,,,8756200000.0,24771400000.0,915800000.0,23855600000.0,629900000.0,51902700000.0,1148400000.0,,24989600000.0,273400000.0,24716200000.0,,107000000.0,20962100000.0,,,126700000.0,20835400000.0,196545700000.0,141306100000.0,2383000000.0,,208200000.0,,1858200000.0,1858200000.0,1167900000.0,1167900000.0,,134228500000.0,,134228500000.0,26832700000.0,107395800000.0,,,,,55239600000.0,3454300000.0,,,,,22909000000.0,,,,113400000.0,,17482800000.0,,,11280100000.0,7384700000.0,3895400000.0,,,2023-09-30,,
296424825.0,296424825.0,37460800000.0,44775300000.0,102123200000.0,146811100000.0,8583500000.0,102123200000.0,1234700000.0,103270500000.0,126385700000.0,103270500000.0,103270500000.0,116300000.0,87269700000.0,5200400000.0,2974400000.0,2974400000.0,84274700000.0,35108700000.0,722900000.0,262400000.0,608000000.0,1332300000.0,722900000.0,8092200000.0,24090900000.0,975700000.0,23115200000.0,608000000.0,49166000000.0,344400000.0,146300000.0,20684400000.0,259000000.0,20425400000.0,79100000.0,79100000.0,25846200000.0,3465200000.0,68300000.0,146300000.0,22312700000.0,187545200000.0,129795700000.0,3200000.0,4117300000.0,186500000.0,0.0,41600000.0,41600000.0,1147300000.0,1147300000.0,0.0,123406100000.0,-29317200000.0,152723300000.0,24055400000.0,99350700000.0,105988200000.0,15467000000.0,7212700000.0,0.0,57749500000.0,20400000.0,9900000.0,0.0,82700000.0,2118300000.0,22742900000.0,5719000000.0,2395600000.0,14628300000.0,2453700000.0,1426600000.0,17856200000.0,-53000000.0,17909200000.0,11038800000.0,4959000000.0,6079800000.0,4207800000.0,1872000000.0,2023-03-31,,
