Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
43952600.0,43952600.0,151817000.0,8668140000.0,8806997000.0,5823696000.0,8668140000.0,15825000.0,8671005000.0,8745486000.0,8671005000.0,8671005000.0,8451242000.0,,,219763000.0,219763000.0,957619000.0,133451000.0,,,729000.0,90306000.0,15825000.0,74481000.0,42416000.0,824168000.0,22464000.0,61511000.0,61511000.0,,30067000.0,591471000.0,,,16771000.0,574700000.0,9628624000.0,2980760000.0,68116000.0,,28726000.0,520045000.0,520045000.0,2865000.0,,2332384000.0,,2332384000.0,10513000.0,2321871000.0,,,,,6647864000.0,176367000.0,,,1479859000.0,,,,,,1583052000.0,,,3408586000.0,2767117000.0,641469000.0,,,2024-03-31
43952600.0,43952600.0,201465000.0,8077816000.0,8265147000.0,5311780000.0,8077816000.0,15825000.0,8079507000.0,8178533000.0,8079507000.0,8079507000.0,7859744000.0,,,219763000.0,219763000.0,934778000.0,145041000.0,,,770000.0,114851000.0,15825000.0,99026000.0,29420000.0,789737000.0,33196000.0,86614000.0,86614000.0,,16158000.0,495056000.0,,,22643000.0,472413000.0,9014285000.0,2912768000.0,120568000.0,,18204000.0,332523000.0,332523000.0,1691000.0,,2415261000.0,,2415261000.0,52536000.0,2362725000.0,,,,,6101517000.0,191582000.0,,,2173864000.0,,,,,,1440138000.0,,,2295933000.0,1782126000.0,513807000.0,,,2023-09-30
43952600.0,43952600.0,251113000.0,7534288000.0,7771500000.0,4714829000.0,7534288000.0,15825000.0,7536212000.0,7672203000.0,7536212000.0,7536212000.0,7316449000.0,7410890000.0,11625000.0,219763000.0,219763000.0,1174189000.0,178066000.0,1000.0,26018000.0,231000.0,151816000.0,15825000.0,135991000.0,,996123000.0,31949000.0,99297000.0,99297000.0,14899000.0,,858600000.0,104451000.0,8798000.0,16677000.0,728674000.0,8710401000.0,2999449000.0,96747000.0,113749000.0,23546000.0,405303000.0,405303000.0,1924000.0,1924000.0,2430453000.0,-1255177000.0,3685630000.0,11938000.0,478452000.0,2042320000.0,1045447000.0,107473000.0,0.0,5710952000.0,252118000.0,8797000.0,275503000.0,2306552000.0,63812000.0,717097000.0,280484000.0,1245159000.0,23959000.0,1336071000.0,-43693000.0,1379764000.0,1760070000.0,1254693000.0,505377000.0,160000000.0,345377000.0,2023-03-31
