Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.295849,55714000.0,,,37470000.0,2501000.0,54367000.0,55714000.0,53213000.0,37470000.0,37470000.0,65504000.0,37470000.0,37470000.0,0.0,37470000.0,37470000.0,,37470000.0,15743000.0,53213000.0,,,53213000.0,11137000.0,8636000.0,2501000.0,2501000.0,64350000.0,54367000.0,118717000.0,118717000.0,2024-06-30
0.0,0.260087,38032000.0,,,25931000.0,2073000.0,42957000.0,38032000.0,35959000.0,25931000.0,25931000.0,59279000.0,25931000.0,25931000.0,0.0,25931000.0,25931000.0,,25931000.0,9115000.0,35046000.0,-913000.0,,35959000.0,16322000.0,14249000.0,2073000.0,2073000.0,52281000.0,42957000.0,95238000.0,95238000.0,2024-03-31
0.0,0.268386,40503000.0,,,28571000.0,1808000.0,37231000.0,40503000.0,38695000.0,28571000.0,28571000.0,47716000.0,28571000.0,28571000.0,0.0,28571000.0,28571000.0,,28571000.0,10481000.0,39052000.0,357000.0,,38695000.0,10485000.0,8677000.0,1808000.0,1808000.0,49180000.0,37231000.0,86411000.0,86411000.0,2023-12-31
0.0,0.263469,36724000.0,,,26275000.0,1702000.0,33663000.0,36724000.0,35022000.0,26275000.0,26275000.0,40409000.0,26275000.0,26275000.0,0.0,26275000.0,26275000.0,,26275000.0,9399000.0,35674000.0,652000.0,,35022000.0,6746000.0,5044000.0,1702000.0,1702000.0,41768000.0,33663000.0,75431000.0,75431000.0,2023-09-30
0.0,0.26274,34330000.0,0.0,0.0,24682000.0,1554000.0,32691000.0,34330000.0,32776000.0,24682000.0,24682000.0,42095000.0,24682000.0,24682000.0,0.0,24682000.0,24682000.0,0.0,24682000.0,8796000.0,33478000.0,702000.0,0.0,32776000.0,9404000.0,7850000.0,1554000.0,1554000.0,42180000.0,32691000.0,74871000.0,74871000.0,2023-06-30
,,,-184000.0,-184000.0,,,,,,,,,,,,,,0.0,,,,445000.0,,,,,,,,,,,2023-03-31
,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2022-12-31
