Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-10241980.866629,0.292628,-846900000.0,-35000000.0,-35000000.0,-754200000.0,166200000.0,457400000.0,-881900000.0,-1048100000.0,-18100000.0,18100000.0,-729441980.866629,-754200000.0,1867300000.0,,,,,-754200000.0,-754200000.0,0.0,-754200000.0,-754200000.0,-754200000.0,-312000000.0,-1066200000.0,197500000.0,-35000000.0,,,-18100000.0,18100000.0,-1213700000.0,1409900000.0,231100000.0,166200000.0,166200000.0,557100000.0,557100000.0,196200000.0,457400000.0,653600000.0,653600000.0,2024-03-31
0.0,0.226244,-222900000.0,0.0,0.0,-359100000.0,191900000.0,430800000.0,-222900000.0,-414800000.0,-49300000.0,49300000.0,-359100000.0,-359100000.0,2119300000.0,625428680.0,625428680.0,-0.574166,-0.574166,-359100000.0,-359100000.0,0.0,-359100000.0,-359100000.0,-359100000.0,-105000000.0,-464100000.0,31900000.0,0.0,,,-49300000.0,49300000.0,-446200000.0,1688500000.0,521700000.0,191900000.0,191900000.0,347500000.0,347500000.0,1242300000.0,430800000.0,1673100000.0,1673100000.0,2023-12-31
2427982.541222,0.255577,-175900000.0,9500000.0,9500000.0,-307000000.0,195200000.0,382100000.0,-166400000.0,-361600000.0,-50800000.0,50800000.0,-314072017.458778,-307000000.0,1913300000.0,626530612.0,626530612.0,-0.49,-0.49,-307000000.0,-307000000.0,0.0,-307000000.0,-307000000.0,-307000000.0,-105400000.0,-412400000.0,21900000.0,9500000.0,,,-50800000.0,50800000.0,-397400000.0,1531200000.0,431300000.0,195200000.0,195200000.0,289600000.0,289600000.0,1133800000.0,382100000.0,1515900000.0,1515900000.0,2023-09-30
17587580.550674,0.258641,-159800000.0,68000000.0,68000000.0,-253100000.0,192300000.0,364200000.0,-91800000.0,-284100000.0,-57300000.0,57300000.0,-303512419.449326,-253100000.0,1793800000.0,632750000.0,632750000.0,-0.4,-0.4,-253100000.0,-253100000.0,0.0,-253100000.0,-253100000.0,-253100000.0,-88300000.0,-341400000.0,38000000.0,68000000.0,-68000000.0,,-57300000.0,57300000.0,-389700000.0,1429600000.0,361000000.0,192300000.0,192300000.0,217300000.0,217300000.0,1039900000.0,364200000.0,1404100000.0,1404100000.0,2023-06-30
-67455000.0,0.3,1187000000.0,-224850000.0,-224850000.0,231170000.0,337110000.0,244020000.0,962150000.0,625040000.0,-103570000.0,134740000.0,388565000.0,231170000.0,1634950000.0,,,,,231170000.0,231170000.0,0.0,231170000.0,231170000.0,231170000.0,259130000.0,490300000.0,-90480000.0,-224510000.0,46830000.0,177680000.0,-103570000.0,134740000.0,978200000.0,1390930000.0,-509850000.0,337110000.0,105960000.0,667600000.0,435270000.0,2369130000.0,244020000.0,2613150000.0,2613150000.0,2023-03-31
,,,,,,,,,,,,,,,618064516.0,618064516.0,-0.31,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.255914,241600000.0,0.0,0.0,-103800000.0,302300000.0,327300000.0,241600000.0,-60700000.0,-78800000.0,78800000.0,-103800000.0,-103800000.0,1834200000.0,610588235.0,610588235.0,-0.17,-0.17,-103800000.0,-103800000.0,0.0,-103800000.0,-103800000.0,-103800000.0,-35700000.0,-139500000.0,13900000.0,0.0,,0.0,-78800000.0,78800000.0,-74600000.0,1506900000.0,653200000.0,302300000.0,302300000.0,,,1432300000.0,327300000.0,1759600000.0,1759600000.0,2024-06-30 00:00:00
