Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Defined Pension Benefit
49437963.0,49437963.0,117600000.0,26826000000.0,26827500000.0,18132500000.0,26826000000.0,117600000.0,26827500000.0,26827500000.0,26827500000.0,26827500000.0,26333100000.0,,,494400000.0,494400000.0,9686500000.0,406900000.0,,37500000.0,37500000.0,369400000.0,9279600000.0,258600000.0,80100000.0,80100000.0,,475700000.0,7131400000.0,,,,7131400000.0,36514000000.0,9101900000.0,887800000.0,,311100000.0,337300000.0,337300000.0,89200000.0,,250700000.0,1500000.0,,5358400000.0,,5358400000.0,886900000.0,4471500000.0,,,,,27412100000.0,593300000.0,,,6838800000.0,,,,,,7513300000.0,,,12466700000.0,292100000.0,12174600000.0,,,2024-03-31,
49437963.0,49437963.0,145900000.0,23879400000.0,23881800000.0,16212200000.0,23879400000.0,145900000.0,23881800000.0,23881800000.0,23881800000.0,23881800000.0,23387400000.0,,,494400000.0,494400000.0,8437000000.0,403300000.0,,68000000.0,68000000.0,335300000.0,8033700000.0,156700000.0,77900000.0,77900000.0,,393500000.0,5957700000.0,,,,5957700000.0,32318800000.0,8072900000.0,915000000.0,,245300000.0,344600000.0,344600000.0,64700000.0,,248500000.0,2400000.0,,5083900000.0,,5083900000.0,480400000.0,4603500000.0,,,,,24245900000.0,803600000.0,,,6982900000.0,,,,,,7051800000.0,,,9407600000.0,275600000.0,9132000000.0,,,2023-09-30,
49400000.0,49400000.0,144400000.0,23410600000.0,23413800000.0,16524500000.0,23410600000.0,144400000.0,23413800000.0,23413800000.0,23413800000.0,23413800000.0,,20047600000.0,32900000.0,494400000.0,494400000.0,8365200000.0,404100000.0,252800000.0,81400000.0,81400000.0,69900000.0,7961100000.0,200000.0,63000000.0,63000000.0,66100000.0,304400000.0,6361700000.0,260000000.0,22600000.0,0.0,6079100000.0,31779000000.0,7293400000.0,-100000.0,472100000.0,208200000.0,20300000.0,20300000.0,23600000.0,23600000.0,229200000.0,3200000.0,3200000.0,4642300000.0,-3831300000.0,8473600000.0,633800000.0,4008400000.0,6710500000.0,860200000.0,269100000.0,0.0,24485600000.0,46200000.0,26300000.0,523500000.0,6860300000.0,5225500000.0,141100000.0,1493700000.0,409200000.0,280300000.0,6786500000.0,-159500000.0,6946000000.0,9553300000.0,500000.0,9552800000.0,9376000000.0,176800000.0,2023-03-31,
