Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue,Date
-257832603.910398,0.281108,-917200000.0,-917200000.0,2679100000.0,529200000.0,6342400000.0,9478300000.0,15820700000.0,3338467396.089602,2679100000.0,,,,,2679100000.0,2679100000.0,2679100000.0,-2045000000.0,4724100000.0,4724100000.0,1519700000.0,5406100000.0,-917200000.0,2626600000.0,3927800000.0,0.0,529200000.0,529200000.0,1174600000.0,1174600000.0,11559100000.0,11559100000.0,2024-03-31
0.0,0.234367,0.0,0.0,4274500000.0,476700000.0,6245500000.0,9098200000.0,15343700000.0,4274500000.0,4274500000.0,110195927.0,110195927.0,38.79,38.79,4274500000.0,4274500000.0,4274500000.0,-783700000.0,5058200000.0,5058200000.0,1218800000.0,5200400000.0,0.0,487500000.0,3592400000.0,0.0,476700000.0,476700000.0,966000000.0,966000000.0,8831300000.0,8831300000.0,2023-12-31
0.0,0.303377,0.0,0.0,3654200000.0,435900000.0,6079400000.0,8203400000.0,14282800000.0,3654200000.0,3654200000.0,110199035.0,110199035.0,33.16,33.16,3654200000.0,3654200000.0,3654200000.0,-694000000.0,4348200000.0,4348200000.0,1427600000.0,4705700000.0,0.0,466900000.0,3459100000.0,0.0,435900000.0,435900000.0,1028300000.0,1028300000.0,8549800000.0,8549800000.0,2023-09-30
0.0,0.284013,0.0,0.0,3752400000.0,386800000.0,5694500000.0,7382000000.0,13076500000.0,3752400000.0,3752400000.0,110202643.0,110202643.0,34.05,34.05,3752400000.0,3752400000.0,3752400000.0,-540700000.0,4293100000.0,4293100000.0,1221000000.0,4299100000.0,0.0,515700000.0,3255500000.0,0.0,386800000.0,386800000.0,916000000.0,916000000.0,8103300000.0,8103300000.0,2023-06-30
27306538.901495,0.22889,119300000.0,119300000.0,4331800000.0,413100000.0,5769000000.0,6662200000.0,12431200000.0,4239806538.901495,4331800000.0,,,,,4331800000.0,4331800000.0,4331800000.0,-754500000.0,5086300000.0,5086300000.0,1220600000.0,5332700000.0,119300000.0,426400000.0,3006100000.0,0.0,413100000.0,413100000.0,677600000.0,523500000.0,7969500000.0,7969500000.0,2023-03-31
,,,,,,,,,,,110211921.0,110211921.0,30.2,30.2,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.233267,0.0,0.0,4348500000.0,483100000.0,6526100000.0,9851100000.0,16377200000.0,4348500000.0,4348500000.0,110200203.0,110200203.0,39.46,39.46,4348500000.0,4348500000.0,4348500000.0,0.0,4348500000.0,4348500000.0,1223600000.0,5245500000.0,0.0,570500000.0,3588500000.0,0.0,483100000.0,483100000.0,812700000.0,812700000.0,9413600000.0,9413600000.0,2024-06-30 00:00:00
