Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
13020902.0,13020902.0,73093000.0,73177000.0,2895858000.0,2972505000.0,1067873000.0,2895858000.0,2899328000.0,2899328000.0,2899328000.0,2899328000.0,2769119000.0,,130209000.0,130209000.0,443766000.0,183114000.0,,161243000.0,,,21871000.0,260652000.0,42583000.0,,73177000.0,73177000.0,,11301000.0,130836000.0,,,616000.0,130220000.0,3343094000.0,2014569000.0,21278000.0,,2097000.0,2097000.0,3470000.0,,1968935000.0,,1968935000.0,60157000.0,1908778000.0,,,,,1328525000.0,62096000.0,,,697016000.0,,,,,142000.0,568130000.0,,,1141000.0,1057000.0,84000.0,,2024-03-31
13020902.0,13020902.0,341519000.0,341608000.0,2655111000.0,3000926000.0,820845000.0,2655111000.0,2659318000.0,2659318000.0,2659318000.0,2659318000.0,2529109000.0,,130209000.0,130209000.0,650165000.0,171009000.0,,151529000.0,,,19480000.0,479156000.0,38479000.0,,341608000.0,341608000.0,,10256000.0,82247000.0,,,756000.0,81491000.0,3309483000.0,2009482000.0,50199000.0,,2093000.0,2093000.0,4207000.0,4207000.0,1918478000.0,,1918478000.0,391224000.0,1527254000.0,,,,,1300001000.0,67848000.0,,,677300000.0,,,,,268000.0,553703000.0,,,882000.0,793000.0,89000.0,,2023-09-30
13020902.0,13020902.0,501598000.0,501676000.0,2587428000.0,3094277000.0,817977000.0,2587428000.0,2592601000.0,2592601000.0,2592601000.0,2592601000.0,2462392000.0,1566587000.0,130209000.0,130209000.0,831479000.0,163729000.0,17924000.0,145805000.0,0.0,0.0,17924000.0,667750000.0,6560000.0,4883000.0,501676000.0,501676000.0,8985000.0,8985000.0,141466000.0,35173000.0,598000.0,4883000.0,105695000.0,3424080000.0,1938353000.0,13000.0,26676000.0,2053000.0,2053000.0,5173000.0,5173000.0,1904747000.0,-412338000.0,2317085000.0,348697000.0,50732000.0,1609887000.0,255519000.0,52250000.0,0.0,1485727000.0,59393000.0,598000.0,57168000.0,799569000.0,951000.0,31614000.0,378369000.0,388635000.0,2523000.0,625791000.0,-4200000.0,629991000.0,78000.0,760000.0,78000.0,78000.0,2023-03-31
