Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
18962443.0,18962443.0,1310697000.0,1415496000.0,1777833000.0,3184442000.0,991596000.0,1777833000.0,8887000.0,1777833000.0,1971879000.0,1777833000.0,1777833000.0,1588209000.0,,189624000.0,189624000.0,2054115000.0,222522000.0,1000.0,,13752000.0,197803000.0,3757000.0,194046000.0,10966000.0,1831593000.0,21804000.0,1217693000.0,5130000.0,1212563000.0,,2673000.0,560329000.0,,-946000.0,561275000.0,3831948000.0,1008759000.0,179659000.0,,18204000.0,18204000.0,810896000.0,,810896000.0,121981000.0,688915000.0,,,,,2823189000.0,192055000.0,,,1708829000.0,,,,0.0,509381000.0,412924000.0,317012000.0,95912000.0,,,2024-03-31
18962443.0,18962443.0,1806602000.0,1866752000.0,1017553000.0,2884305000.0,476048000.0,1017553000.0,,1017553000.0,1211982000.0,1017553000.0,1017553000.0,,875361000.0,141830000.0,141830000.0,2747290000.0,217420000.0,1000.0,10524000.0,12466000.0,194429000.0,,194429000.0,,2529870000.0,4573000.0,1672323000.0,,1672323000.0,1245000.0,,807401000.0,24183000.0,0.0,783218000.0,3764843000.0,758925000.0,1600000.0,8978000.0,1737000.0,1737000.0,746610000.0,-545969000.0,1292579000.0,117946000.0,,776986000.0,303874000.0,93773000.0,0.0,3005918000.0,6636000.0,169000.0,229190000.0,1499129000.0,957468000.0,541661000.0,98980000.0,171810000.0,735911000.0,264093000.0,203943000.0,60150000.0,50518000.0,9631000.0,2023-09-30
