Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
64296477.829705,0.239912,37857000000.0,268000000.0,268000000.0,26463000000.0,,159191000000.0,38125000000.0,38125000000.0,1777000000.0,3033000000.0,4810000000.0,26259296477.829704,26463000000.0,192082000000.0,33345000000.0,5245641198.0,5232867366.0,5.04,5.06,26463000000.0,26463000000.0,26463000000.0,-210000000.0,26673000000.0,26673000000.0,8419000000.0,35092000000.0,238000000.0,-30000000.0,268000000.0,1777000000.0,3033000000.0,4810000000.0,33077000000.0,32891000000.0,32891000000.0,18767000000.0,14124000000.0,14124000000.0,65968000000.0,159191000000.0,225159000000.0,225159000000.0,2023-09-30
296672547.728769,0.240026,47205000000.0,1236000000.0,1236000000.0,28701000000.0,7380000000.0,161261000000.0,48441000000.0,41061000000.0,2158000000.0,3086000000.0,5244000000.0,27761672547.728767,28701000000.0,193732000000.0,34516000000.0,5600307315.0,5482733329.0,5.12,5.23,28701000000.0,28701000000.0,28701000000.0,-159000000.0,28860000000.0,28860000000.0,9115000000.0,37975000000.0,1239000000.0,3000000.0,1236000000.0,2158000000.0,3086000000.0,5244000000.0,34578000000.0,32471000000.0,32471000000.0,16584000000.0,15887000000.0,15887000000.0,67049000000.0,161261000000.0,228310000000.0,228310000000.0,2023-06-30
336963368.504878,0.230166,50046000000.0,1464000000.0,1464000000.0,30745000000.0,8466000000.0,162738000000.0,51510000000.0,43044000000.0,2129000000.0,2860000000.0,4989000000.0,29617963368.50488,30745000000.0,195316000000.0,37577000000.0,5489878685.0,5481366536.0,5.6,5.61,30745000000.0,30745000000.0,30745000000.0,-190000000.0,30935000000.0,30935000000.0,9249000000.0,40184000000.0,1468000000.0,4000000.0,1464000000.0,2129000000.0,2860000000.0,4989000000.0,36587000000.0,32578000000.0,23085000000.0,-40487000000.0,63572000000.0,-17313000000.0,69165000000.0,162738000000.0,231903000000.0,231903000000.0,2023-03-31
415121905.81606,0.22897,50070000000.0,1813000000.0,1813000000.0,30529000000.0,9229000000.0,163273000000.0,51883000000.0,42654000000.0,1668000000.0,2902000000.0,4570000000.0,29131121905.81606,30529000000.0,196045000000.0,37636000000.0,5486025875.0,5480138169.0,5.56,5.57,30529000000.0,30529000000.0,30529000000.0,-121000000.0,30650000000.0,30650000000.0,9102000000.0,39752000000.0,1839000000.0,26000000.0,1813000000.0,1668000000.0,2902000000.0,4570000000.0,36245000000.0,32772000000.0,32772000000.0,17752000000.0,15020000000.0,15020000000.0,69017000000.0,163273000000.0,232290000000.0,232290000000.0,2022-12-31
403395414.760294,0.244927,41857000000.0,1647000000.0,1647000000.0,30032000000.0,,153306000000.0,43504000000.0,43504000000.0,2339000000.0,3288000000.0,5627000000.0,28788395414.760296,30032000000.0,183363000000.0,36069000000.0,5236768113.0,5225776256.0,5.73,5.75,30032000000.0,30032000000.0,30032000000.0,-334000000.0,30366000000.0,30366000000.0,9850000000.0,40216000000.0,1602000000.0,-45000000.0,1647000000.0,2339000000.0,3288000000.0,5627000000.0,36275000000.0,30057000000.0,30057000000.0,15844000000.0,14213000000.0,14213000000.0,66332000000.0,153306000000.0,219638000000.0,219638000000.0,2024-06-30 00:00:00
