Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Construction In Progress
0.0,419338676.0,419338676.0,361997000.0,365387000.0,574218000.0,939605000.0,478111000.0,574218000.0,574218000.0,939605000.0,574218000.0,,574218000.0,154879000.0,,,419339000.0,419339000.0,806495000.0,366677000.0,-1000.0,,,365387000.0,365387000.0,1291000.0,439818000.0,33505000.0,0.0,0.0,,77000.0,243842000.0,,0.0,243842000.0,1380713000.0,462783000.0,6930000.0,,214025000.0,27455000.0,27455000.0,,,,,214373000.0,,,,,,,,917929000.0,185834000.0,,127217000.0,,,,2109000.0,598851000.0,,,3918000.0,528000.0,3390000.0,,2024-03-31,
,419078676.0,419078676.0,128422000.0,415015000.0,476541000.0,891556000.0,368312000.0,476541000.0,476541000.0,841265000.0,476541000.0,0.0,476541000.0,57462000.0,,,419079000.0,419079000.0,743540000.0,366755000.0,-2000.0,,,364724000.0,364724000.0,2033000.0,376785000.0,29005000.0,50291000.0,50291000.0,,,132994000.0,,0.0,132994000.0,1220081000.0,474984000.0,6935000.0,,215167000.0,24684000.0,24684000.0,,,0.0,0.0,228198000.0,,,,,,,,745097000.0,91656000.0,,92663000.0,,,325000.0,930000.0,272930000.0,,,286593000.0,,286593000.0,,2023-09-30,
,332378676.0,332378676.0,388348000.0,674759000.0,176726000.0,851485000.0,310815000.0,176726000.0,176726000.0,801394000.0,176726000.0,,176726000.0,-156310000.0,-1229743000.0,824559000.0,332379000.0,332379000.0,1027930000.0,626390000.0,,1722000.0,0.0,624668000.0,624668000.0,1722000.0,401540000.0,22338000.0,50091000.0,50091000.0,106000.0,106000.0,332029000.0,167349000.0,0.0,164680000.0,1204656000.0,492302000.0,6929000.0,31454000.0,215441000.0,24525000.0,24525000.0,26000.0,26000.0,,,245381000.0,-470901000.0,716282000.0,1000.0,605344000.0,100571000.0,10366000.0,0.0,712355000.0,92633000.0,92633000.0,78181000.0,55995000.0,22186000.0,537000.0,1358000.0,253235000.0,-645439000.0,898674000.0,286411000.0,212000.0,286411000.0,286411000.0,2023-03-31,
,660354403.0,660354403.0,55910000.0,61762000.0,1585743000.0,1647505000.0,1211647000.0,1585743000.0,1585743000.0,1647505000.0,1585743000.0,0.0,1585743000.0,1000864000.0,,,584879000.0,584879000.0,343195000.0,63340000.0,5000.0,,,61762000.0,61762000.0,1573000.0,279855000.0,32830000.0,0.0,0.0,,,246615000.0,,116000.0,246499000.0,1928938000.0,437436000.0,6940000.0,,172593000.0,26525000.0,26525000.0,,,0.0,0.0,231378000.0,,,,,,,,1491502000.0,98843000.0,,130148000.0,,,40000.0,2333000.0,1253747000.0,,,6391000.0,539000.0,5852000.0,,2024-09-30 00:00:00,
