Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.273228,20497000.0,0.0,0.0,13774000.0,1375000.0,20497000.0,19122000.0,-255000.0,255000.0,13774000.0,13774000.0,194842000.0,,,,,13774000.0,13774000.0,0.0,13774000.0,62000.0,13712000.0,,13712000.0,5155000.0,18867000.0,4207000.0,0.0,-255000.0,255000.0,14916000.0,194842000.0,185712000.0,1375000.0,1375000.0,209758000.0,209758000.0,2024-03-31
0.0,0.169781,14432000.0,0.0,0.0,10853000.0,1169000.0,14432000.0,13263000.0,-152000.0,152000.0,10853000.0,10853000.0,56693000.0,11074490.0,11074490.0,0.98,0.98,10853000.0,10853000.0,0.0,10853000.0,-32000.0,10885000.0,,10885000.0,2226000.0,13111000.0,912000.0,0.0,-152000.0,152000.0,12350000.0,56693000.0,46819000.0,1169000.0,1169000.0,69043000.0,69043000.0,2023-12-31
4638.508239,0.356808,12948000.0,13000.0,13000.0,7416000.0,1367000.0,12961000.0,11594000.0,-64000.0,64000.0,7407638.508239,7416000.0,28332000.0,11068657.0,11068657.0,0.67,0.67,7416000.0,7416000.0,0.0,7416000.0,,7416000.0,,7416000.0,4114000.0,11530000.0,1974000.0,13000.0,-64000.0,64000.0,9607000.0,28332000.0,19256000.0,1367000.0,1367000.0,37939000.0,37939000.0,2023-09-30
0.0,0.3,2497000.0,0.0,0.0,326000.0,1338000.0,2497000.0,1159000.0,-59000.0,59000.0,326000.0,370000.0,14629000.0,12333333.0,12333333.0,0.03,0.03,370000.0,370000.0,0.0,370000.0,,370000.0,44000.0,326000.0,774000.0,1100000.0,61000.0,0.0,-59000.0,59000.0,1098000.0,14629000.0,4865000.0,1338000.0,1338000.0,15727000.0,15727000.0,2023-06-30
0.0,0.3,17966000.0,0.0,0.0,9518000.0,1584000.0,17966000.0,16382000.0,-92000.0,92000.0,9518000.0,9518000.0,211697000.0,,,,,9518000.0,9518000.0,0.0,9518000.0,105000.0,9414000.0,,9414000.0,6877000.0,16290000.0,794000.0,0.0,-92000.0,92000.0,15588000.0,211697000.0,195883000.0,1584000.0,1584000.0,227285000.0,227285000.0,2023-03-31
,,,,,,,,,,,,,,10335088.0,10335088.0,0.57,0.57,,,,,125000.0,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.310166,5889000.0,0.0,0.0,2531000.0,1851000.0,5889000.0,4038000.0,-369000.0,369000.0,2531000.0,2582000.0,35602000.0,11226087.0,11226087.0,0.23,0.23,2582000.0,2582000.0,0.0,2582000.0,,2582000.0,51000.0,2531000.0,1138000.0,3669000.0,1013000.0,0.0,-369000.0,369000.0,3025000.0,35602000.0,25568000.0,1851000.0,1851000.0,38627000.0,38627000.0,2024-06-30 00:00:00
