Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Net Income Discontinuous Operations
-2509480000.0,0.4,28338900000.0,-6273700000.0,-6273700000.0,4490500000.0,76289400000.0,22065200000.0,22065200000.0,-15119700000.0,15119700000.0,8254720000.0,4502800000.0,175728900000.0,,,,,4502800000.0,4502800000.0,0.0,4502800000.0,983300000.0,3522500000.0,3510200000.0,4302000000.0,6945500000.0,4501900000.0,-6273700000.0,-15119700000.0,15119700000.0,25559300000.0,99439500000.0,93219300000.0,124998800000.0,76289400000.0,201288200000.0,201288200000.0,2024-03-31,
0.0,0.18771,29576000000.0,0.0,0.0,18884500000.0,162776400000.0,29576000000.0,29576000000.0,-5967800000.0,5967800000.0,18884500000.0,18884500000.0,259699400000.0,1139680145.0,1139680145.0,16.57,16.57,18884500000.0,18884500000.0,0.0,18884500000.0,-843000000.0,19727500000.0,19727500000.0,4431500000.0,23608200000.0,4901500000.0,0.0,-5967800000.0,5967800000.0,23664400000.0,96923000000.0,91437800000.0,120587400000.0,162776400000.0,283363800000.0,283363800000.0,2023-12-31,
-264000000.0,0.3,22218600000.0,-880000000.0,-880000000.0,2278200000.0,138769900000.0,21338600000.0,21338600000.0,-13428400000.0,13428400000.0,2894200000.0,2278200000.0,207406900000.0,1139100000.0,1139100000.0,2.0,2.0,2278200000.0,2278200000.0,0.0,2278200000.0,-1055200000.0,3333400000.0,3333400000.0,3978000000.0,7910200000.0,5487000000.0,-880000000.0,-13428400000.0,13428400000.0,17766400000.0,68637000000.0,62771300000.0,86403400000.0,138769900000.0,225173300000.0,225173300000.0,2023-09-30,
0.0,0.334125,21816300000.0,0.0,0.0,6739300000.0,156498100000.0,21816300000.0,21816300000.0,-11031100000.0,11031100000.0,6739300000.0,6739300000.0,234002300000.0,1140321489.0,1140321489.0,5.91,5.91,6739300000.0,6739300000.0,0.0,6739300000.0,-30000000.0,6769300000.0,6769300000.0,3603600000.0,10785200000.0,3714900000.0,0.0,-11031100000.0,11031100000.0,20382200000.0,77504200000.0,71765800000.0,97886400000.0,156498100000.0,254384500000.0,254384500000.0,2023-06-30,
-1589650532.302132,0.381065,21432200000.0,-4171600000.0,-4171600000.0,7224800000.0,261165600000.0,17260600000.0,17260600000.0,-1505800000.0,5584900000.0,9806749467.697868,7224800000.0,285488700000.0,,,,,7224800000.0,7224800000.0,0.0,7224800000.0,-582000000.0,7806800000.0,7806800000.0,4449200000.0,11675700000.0,-5259600000.0,-4277500000.0,-1505800000.0,5584900000.0,26453000000.0,24323100000.0,3219000000.0,50776100000.0,261165600000.0,311941700000.0,311941700000.0,2023-03-31,
,,,,,,,,,,,,,,1137392510.0,1137392510.0,7.21,7.21,,,,,,,,,,,,,,,,,,,,,2022-12-31,
0.0,0.261053,33660500000.0,0.0,0.0,14582600000.0,152648900000.0,33660500000.0,33660500000.0,-11304900000.0,11304900000.0,14582600000.0,14545000000.0,226383400000.0,1182520325.0,1182520325.0,12.3,12.3,14545000000.0,14545000000.0,0.0,14545000000.0,-3177600000.0,17722600000.0,17760200000.0,5836000000.0,22355600000.0,5943200000.0,0.0,-11304900000.0,11304900000.0,28340600000.0,73734500000.0,73734500000.0,102075100000.0,152648900000.0,254724000000.0,254724000000.0,2024-06-30 00:00:00,-37600000.0
