Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
177585081.0,177585081.0,4979260000.0,6298880000.0,12675000000.0,21889180000.0,4313390000.0,12675000000.0,535780000.0,16126080000.0,16770890000.0,16770290000.0,644210000.0,16126080000.0,14351810000.0,,,1774270000.0,1774270000.0,20123970000.0,1675440000.0,35760000.0,132230000.0,,,176220000.0,1111070000.0,466260000.0,644810000.0,,18448530000.0,522390000.0,5187810000.0,69520000.0,5118290000.0,41820000.0,12307220000.0,,74780000.0,12232440000.0,36894260000.0,14132340000.0,117420000.0,,12400000.0,2986810000.0,2986810000.0,,,,,3451080000.0,229150000.0,3221930000.0,7472380000.0,,7472380000.0,106490000.0,7365890000.0,,,,,22761920000.0,1846000000.0,,,,10042570000.0,,,,,,9301460000.0,,,1571890000.0,788050000.0,783840000.0,,,2024-03-31
176777842.0,176777842.0,3582770000.0,4662330000.0,12282130000.0,19914740000.0,4101460000.0,12282130000.0,434610000.0,15687020000.0,16571930000.0,16181240000.0,494220000.0,15687020000.0,13919240000.0,,,1767780000.0,1767780000.0,12895200000.0,1766240000.0,21900000.0,,,,135910000.0,1263100000.0,378190000.0,884910000.0,137770000.0,11128960000.0,601870000.0,3399230000.0,56420000.0,3342810000.0,39910000.0,6817960000.0,,130970000.0,6686990000.0,29076440000.0,13846020000.0,247820000.0,,16610000.0,4428510000.0,4428510000.0,,,,,3404890000.0,189110000.0,3215780000.0,5717430000.0,,5717430000.0,252810000.0,5464620000.0,,,,,15230420000.0,1301840000.0,,,,7350240000.0,,,,,,5188350000.0,,,1389990000.0,745040000.0,644950000.0,,,2023-09-30
176777842.0,176777842.0,3003480000.0,3747240000.0,14135260000.0,18871160000.0,3664420000.0,14135260000.0,278860000.0,15402780000.0,16272630000.0,15428930000.0,26150000.0,15402780000.0,61500000.0,2846750000.0,10654300000.0,1767780000.0,1767780000.0,9982620000.0,1383100000.0,,92050000.0,20580000.0,16430000.0,137550000.0,1116490000.0,246640000.0,869850000.0,,8599520000.0,,2630750000.0,32220000.0,2598530000.0,41590000.0,5487530000.0,440090000.0,166670000.0,4880770000.0,25411550000.0,13147610000.0,-50000.0,105410000.0,0.0,59800000.0,49560000.0,10240000.0,160000.0,160000.0,0.0,1267520000.0,85670000.0,1181850000.0,4325070000.0,-868340000.0,5193410000.0,219230000.0,644210000.0,2914120000.0,776960000.0,638890000.0,0.0,12263940000.0,214430000.0,0.0,79390000.0,246850000.0,5874370000.0,474860000.0,721030000.0,4678480000.0,46150000.0,524940000.0,4032470000.0,-70650000.0,4103120000.0,1245340000.0,780440000.0,464900000.0,46030000.0,418870000.0,2023-03-31
