Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Held To Maturity Securities,Investmentsin Joint Venturesat Cost
10045034805.0,10045034805.0,310706100000.0,325608000000.0,385184800000.0,711951100000.0,12892900000.0,385184800000.0,681300000.0,387024400000.0,680841700000.0,438924100000.0,51899700000.0,387024400000.0,286574100000.0,,,100450300000.0,100450300000.0,494030800000.0,397907600000.0,55746400000.0,,,,24646400000.0,294424900000.0,607600000.0,293817300000.0,814200000.0,96123200000.0,7797700000.0,31183100000.0,73700000.0,31109400000.0,27691400000.0,3411800000.0,,,590000000.0,2821800000.0,932954900000.0,823938800000.0,114514100000.0,,,34500000.0,,83523900000.0,83523900000.0,123200000.0,44900000.0,1839600000.0,1839600000.0,611168300000.0,,611168300000.0,396503000000.0,214665300000.0,,,,,109016100000.0,7750200000.0,,,,1900800000.0,,,,691500000.0,1181500000.0,44199000000.0,,,53293100000.0,39072500000.0,14220600000.0,,,2024-03-31,,
10045034805.0,10045034805.0,292702700000.0,301098200000.0,388755700000.0,691102500000.0,22602600000.0,388755700000.0,647100000.0,390651400000.0,654575700000.0,440782000000.0,50130600000.0,390651400000.0,290201100000.0,,,100450300000.0,100450300000.0,457242700000.0,361772400000.0,52878900000.0,,,,21519800000.0,264501800000.0,577500000.0,263924300000.0,745800000.0,95470300000.0,12122100000.0,36596400000.0,69600000.0,36526800000.0,23378200000.0,3852400000.0,,,1596200000.0,2256200000.0,898024700000.0,779951800000.0,109833600000.0,,,22300000.0,,85149200000.0,85149200000.0,,44900000.0,1895700000.0,1895700000.0,569508900000.0,,569508900000.0,353293800000.0,216215100000.0,,,,,118072900000.0,2926500000.0,,,,1568700000.0,,,,594400000.0,1645000000.0,66068300000.0,,,45270000000.0,37521600000.0,7748400000.0,,,2023-09-30,,
10045034805.0,10045034805.0,304852800000.0,315570400000.0,368896900000.0,684044300000.0,28228200000.0,368896900000.0,519500000.0,368993400000.0,655187800000.0,417144700000.0,48151300000.0,368993400000.0,268543100000.0,117434100000.0,33850100000.0,100450300000.0,100450300000.0,443729900000.0,364306700000.0,23153300000.0,87600000.0,1686500000.0,27338700000.0,24636100000.0,286666200000.0,471800000.0,286194400000.0,696600000.0,79423200000.0,531400000.0,28904200000.0,47700000.0,28856500000.0,20687400000.0,14444700000.0,11866600000.0,229900000.0,0.0,2348200000.0,860874600000.0,753223200000.0,66822900000.0,40666600000.0,5054000000.0,,2400000.0,9780200000.0,9780200000.0,0.0,44900000.0,96500000.0,96500000.0,534799900000.0,-109337100000.0,644137000000.0,313505000000.0,368000000.0,87377600000.0,23395700000.0,58303200000.0,161187500000.0,107651400000.0,1330400000.0,627600000.0,1545100000.0,2236400000.0,1611800000.0,-32600000.0,62000000.0,1582400000.0,8284600000.0,1511700000.0,61605900000.0,-353700000.0,61959600000.0,26905200000.0,16707100000.0,10198100000.0,4885100000.0,5313000000.0,2023-03-31,,
