Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Payables,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
17690250.0,17690250.0,1552410000.0,1563860000.0,1556010000.0,3265110000.0,482280000.0,1556010000.0,1701250000.0,2125740000.0,1701250000.0,1701250000.0,1524350000.0,,,176900000.0,176900000.0,2182780000.0,597970000.0,-10000.0,16730000.0,39600000.0,117160000.0,424490000.0,424490000.0,1584810000.0,,1139370000.0,1139370000.0,425900000.0,,425900000.0,3884030000.0,1816940000.0,960000.0,,0.0,18000000.0,18000000.0,,,,145240000.0,,1617830000.0,,1617830000.0,0.0,1617830000.0,,,,,2067090000.0,170090000.0,,,1105050000.0,,,,,780220000.0,,,11730000.0,280000.0,11450000.0,,,2024-03-31
17690250.0,17690250.0,1538330000.0,1551570000.0,1480410000.0,3182760000.0,536810000.0,1480410000.0,1631190000.0,2117010000.0,1631190000.0,1631190000.0,1454290000.0,,,176900000.0,176900000.0,2128750000.0,675240000.0,-10000.0,15940000.0,36110000.0,137380000.0,485820000.0,485820000.0,1453510000.0,,1065750000.0,1065750000.0,363480000.0,,363480000.0,3759940000.0,1769630000.0,1180000.0,,0.0,15310000.0,15310000.0,,,,150780000.0,,1567120000.0,,1567120000.0,0.0,1567120000.0,,,,,1990320000.0,157470000.0,,,1089990000.0,,,,,729280000.0,,,13580000.0,340000.0,13240000.0,,,2023-09-30
17690250.0,17690250.0,1455300000.0,1468460000.0,1457460000.0,3075300000.0,615170000.0,1457460000.0,1606840000.0,2150980000.0,1606840000.0,1606840000.0,1429940000.0,1157290000.0,272650000.0,176900000.0,176900000.0,2056160000.0,762880000.0,,16130000.0,74060000.0,202610000.0,544140000.0,544140000.0,1293280000.0,10000.0,924320000.0,924320000.0,347220000.0,320000.0,346900000.0,3663000000.0,1754550000.0,-20000.0,89760000.0,0.0,640000.0,640000.0,0.0,0.0,0.0,149380000.0,149380000.0,1514790000.0,-553460000.0,2068250000.0,261040000.0,19440000.0,1139110000.0,615200000.0,33460000.0,0.0,1908450000.0,-20000.0,320000.0,97480000.0,1039800000.0,263740000.0,467960000.0,308100000.0,65450000.0,689780000.0,-360000.0,690140000.0,15640000.0,2480000.0,13160000.0,11600000.0,1560000.0,2023-03-31
