Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,404180417.0,404180417.0,820421000.0,1469429000.0,27050891000.0,28399453000.0,-153351000.0,27050891000.0,171139000.0,27101163000.0,27822189000.0,27101163000.0,27101163000.0,26696983000.0,,,404180000.0,404180000.0,8922566000.0,1112237000.0,132776000.0,,847673000.0,126647000.0,721026000.0,131788000.0,7810329000.0,929184000.0,,621756000.0,44492000.0,577264000.0,,26174000.0,2233619000.0,,,36599000.0,2197020000.0,36023729000.0,28366751000.0,1080114000.0,,2400831000.0,233461000.0,233461000.0,,0.0,0.0,50272000.0,50272000.0,24324997000.0,,24324997000.0,10190493000.0,14134504000.0,,,,,7656978000.0,1674470000.0,,,3349635000.0,,,,,32500000.0,1507779000.0,,,1092594000.0,614725000.0,477869000.0,,,2024-03-31
0.0,404180417.0,404180417.0,,319476000.0,25459034000.0,25653802000.0,1378972000.0,25459034000.0,156215000.0,25490541000.0,25490541000.0,25490541000.0,25490541000.0,25086361000.0,,,404180000.0,404180000.0,6863631000.0,291495000.0,69063000.0,,113645000.0,113645000.0,0.0,108787000.0,6572136000.0,689038000.0,,205831000.0,42570000.0,163261000.0,,17650000.0,2394613000.0,,,42308000.0,2352305000.0,32354172000.0,24403064000.0,1740650000.0,,2850722000.0,1099562000.0,1099562000.0,,0.0,0.0,31507000.0,,18409492000.0,,18409492000.0,8128085000.0,10281407000.0,,,,,7951108000.0,1614361000.0,,,3675141000.0,,,,,5000000.0,988473000.0,,,1668133000.0,1385103000.0,283030000.0,,,2023-09-30
,404180417.0,404180417.0,,353505000.0,24123944000.0,24424791000.0,4689311000.0,24123944000.0,92470000.0,24163756000.0,24163756000.0,24163756000.0,24163756000.0,23759576000.0,23059628000.0,15049000.0,404180000.0,404180000.0,7150244000.0,1865292000.0,72718000.0,72718000.0,48384000.0,48384000.0,0.0,77253000.0,5284952000.0,637553000.0,10942000.0,305121000.0,44086000.0,261035000.0,133405000.0,19758000.0,3384598000.0,481011000.0,929000.0,10942000.0,2902658000.0,31314000000.0,21339737000.0,43000.0,388530000.0,2890396000.0,2197246000.0,475020000.0,1722226000.0,0.0,0.0,39812000.0,39812000.0,15823710000.0,-8120971000.0,23944681000.0,6954109000.0,71303000.0,11782498000.0,3688247000.0,1217499000.0,231025000.0,9974263000.0,254000.0,16115000.0,1506193000.0,3741116000.0,1925790000.0,496266000.0,25926000.0,1293134000.0,562360000.0,1046911000.0,-35332000.0,1082243000.0,3101314000.0,1885091000.0,1216223000.0,1092117000.0,124106000.0,2023-03-31
