Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Pensionand Other Post Retirement Benefit Plans Current,Cash Equivalents
,,409434000.0,800755000.0,3227095000.0,4231952000.0,2086586000.0,3227095000.0,80909000.0,3512106000.0,3632744000.0,3512106000.0,3512106000.0,3388342000.0,,,123764000.0,123764000.0,2530449000.0,215033000.0,9495000.0,,,183928000.0,63290000.0,120638000.0,21610000.0,2315416000.0,779069000.0,,616827000.0,17619000.0,599208000.0,64265000.0,708482000.0,,,12893000.0,695589000.0,6042555000.0,1640553000.0,223419000.0,,62313000.0,3773000.0,3773000.0,285011000.0,66840000.0,218171000.0,1044249000.0,,1044249000.0,55393000.0,988856000.0,,,,,4402002000.0,107099000.0,,87543000.0,,,1612249000.0,,,,,1573871000.0,,,1021240000.0,710828000.0,310412000.0,,2024-03-31,,
12029958.0,12029958.0,597378000.0,798497000.0,2145333000.0,3174318000.0,1229883000.0,2145333000.0,58976000.0,2434797000.0,2496641000.0,2434797000.0,2434797000.0,2314498000.0,,,120299000.0,120299000.0,2298813000.0,179242000.0,10226000.0,,,108691000.0,46847000.0,61844000.0,60325000.0,2119571000.0,747402000.0,,689806000.0,12129000.0,677677000.0,21112000.0,560678000.0,,,4524000.0,556154000.0,4733610000.0,1384155000.0,25973000.0,,100486000.0,2271000.0,2271000.0,289464000.0,75680000.0,213784000.0,916861000.0,,916861000.0,73132000.0,843729000.0,,,,,3349454000.0,121752000.0,,87211000.0,,,1684585000.0,,,,,1030694000.0,,,425212000.0,283069000.0,142143000.0,,2023-09-30,,
12029958.0,12029958.0,666988000.0,818836000.0,2086934000.0,3142502000.0,1243570000.0,2086934000.0,63588000.0,2387254000.0,2474742000.0,2387254000.0,2387254000.0,23124000.0,1567138000.0,472482000.0,120299000.0,120299000.0,2097932000.0,181024000.0,10720000.0,33496000.0,10720000.0,136808000.0,49320000.0,87488000.0,33496000.0,1916908000.0,499366000.0,26637000.0,682028000.0,14268000.0,667760000.0,39783000.0,663917000.0,75607000.0,429000.0,26637000.0,587881000.0,4485186000.0,1324656000.0,-1000.0,22675000.0,87544000.0,2271000.0,2271000.0,300320000.0,83323000.0,216997000.0,901684000.0,-693779000.0,1595463000.0,40824000.0,860859000.0,790772000.0,546543000.0,217324000.0,0.0,3160478000.0,54546000.0,811000.0,86328000.0,146631000.0,55240000.0,1119890000.0,233188000.0,328448000.0,558254000.0,25511000.0,1559898000.0,-115886000.0,1675784000.0,166169000.0,77909000.0,88260000.0,88260000.0,2023-03-31,,
