Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
355489821.0,355489821.0,2040100000.0,17529900000.0,39931800000.0,45663000000.0,15683800000.0,39931800000.0,12544300000.0,40677400000.0,45663000000.0,41025900000.0,348500000.0,40677400000.0,40321900000.0,,,355500000.0,355500000.0,30591600000.0,15176900000.0,85900000.0,,,,13437600000.0,8452000000.0,4985600000.0,1600400000.0,15414700000.0,1500500000.0,4092300000.0,4092300000.0,,187100000.0,8038600000.0,,,299500000.0,7739100000.0,71617500000.0,40519000000.0,1781500000.0,,544300000.0,11439600000.0,11439600000.0,,,269100000.0,745600000.0,473700000.0,271900000.0,25722300000.0,,25722300000.0,2237800000.0,23484500000.0,,,,,31098500000.0,2536300000.0,131200000.0,,,15827300000.0,,,,170800000.0,40000000.0,817400000.0,,,11575500000.0,8630000000.0,2945500000.0,,,2024-03-31
355487461.0,355487461.0,3498700000.0,48393300000.0,28377600000.0,34120700000.0,13496300000.0,28377600000.0,43410800000.0,29138200000.0,34120700000.0,29952800000.0,814600000.0,29138200000.0,28782700000.0,,,355500000.0,355500000.0,59442000000.0,46718200000.0,89200000.0,,,,45615200000.0,40632700000.0,4982500000.0,949300000.0,12723800000.0,1270900000.0,2778100000.0,2778100000.0,,124500000.0,7714300000.0,,,385200000.0,7329100000.0,89394800000.0,63174700000.0,2177000000.0,,1758500000.0,7699400000.0,7699400000.0,,,267800000.0,760600000.0,488700000.0,271900000.0,50493800000.0,,50493800000.0,1664600000.0,48829200000.0,,,,,26220100000.0,2195200000.0,96100000.0,,,13965100000.0,,,,175100000.0,32400000.0,490600000.0,,,9265600000.0,7781800000.0,1483800000.0,,,2023-09-30
355487461.0,355487461.0,4147200000.0,44641400000.0,24733600000.0,30934400000.0,12838000000.0,24733600000.0,39661900000.0,25954900000.0,30934400000.0,26629700000.0,674800000.0,25954900000.0,25599400000.0,2398000000.0,19313000000.0,355500000.0,355500000.0,54185600000.0,43245800000.0,94500000.0,589000000.0,80600000.0,94500000.0,42481700000.0,37502200000.0,4979500000.0,589000000.0,10939800000.0,345200000.0,2159700000.0,2159700000.0,124200000.0,124200000.0,7276000000.0,587200000.0,12200000.0,24400000.0,6652200000.0,80815300000.0,57037500000.0,2163300000.0,3061900000.0,1560500000.0,789600000.0,392000000.0,397600000.0,4851700000.0,271300000.0,1221300000.0,729200000.0,492100000.0,45231400000.0,-12654500000.0,57885900000.0,1017200000.0,44214200000.0,7553300000.0,48547700000.0,767700000.0,0.0,23777800000.0,1880100000.0,86900000.0,30700000.0,1590800000.0,13611600000.0,37000000.0,13573400000.0,1200000.0,1421300000.0,402900000.0,343900000.0,-1600000.0,345500000.0,6289700000.0,5457400000.0,832300000.0,185100000.0,647200000.0,2023-03-31
