Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
,217654272.0,217654272.0,1124195000.0,2468232000.0,14475180000.0,21072709000.0,6601772000.0,14475180000.0,677252000.0,19281729000.0,20213396000.0,20925492000.0,1643763000.0,19281729000.0,94587000.0,435309000.0,435309000.0,7583188000.0,2426156000.0,208297000.0,754697000.0,1463162000.0,531495000.0,931667000.0,5157032000.0,1046007000.0,1005070000.0,145757000.0,859313000.0,132075000.0,1695081000.0,0.0,1695081000.0,28508680000.0,16749876000.0,147693000.0,240361000.0,6963323000.0,6963323000.0,69571000.0,,205701000.0,4806549000.0,2202355000.0,2604194000.0,4133096000.0,4133096000.0,24713000.0,4108383000.0,11758804000.0,825831000.0,46940000.0,504580000.0,23152000.0,4866739000.0,5491562000.0,4824777000.0,666785000.0,2024-03-31
,217654272.0,217654272.0,1514182000.0,2677870000.0,12437859000.0,20287954000.0,5195068000.0,12437859000.0,733106000.0,18343190000.0,19254052000.0,20158484000.0,1815294000.0,18343190000.0,94587000.0,435309000.0,435309000.0,8174885000.0,2636758000.0,217397000.0,939248000.0,1480113000.0,569251000.0,910862000.0,5538127000.0,1192809000.0,1197757000.0,163855000.0,1033902000.0,97238000.0,1818814000.0,51697000.0,1767117000.0,28333369000.0,17600174000.0,139130000.0,265945000.0,6397686000.0,6397686000.0,66854000.0,,207869000.0,5905331000.0,3192668000.0,2712663000.0,4315534000.0,4315534000.0,57034000.0,4258500000.0,10733195000.0,697796000.0,23622000.0,1013844000.0,22576000.0,4731768000.0,4243589000.0,3813007000.0,430582000.0,2023-09-30
46000000.0,217654272.0,263654272.0,3202645000.0,4434243000.0,11390838000.0,21161750000.0,4580596000.0,11390838000.0,745483000.0,17472990000.0,19173619000.0,19304728000.0,1831738000.0,17472990000.0,17037681000.0,435309000.0,435309000.0,10274186000.0,3390989000.0,189225000.0,922393000.0,2279371000.0,578742000.0,1700629000.0,6883197000.0,1735242000.0,2154872000.0,166741000.0,1988131000.0,112151000.0,1733671000.0,51816000.0,1681855000.0,29578914000.0,18115121000.0,164081000.0,280920000.0,6732637000.0,6732637000.0,64967000.0,64967000.0,210038000.0,6082152000.0,3369489000.0,2712663000.0,4408931000.0,4408931000.0,16234000.0,4392697000.0,11463793000.0,550166000.0,18249000.0,909852000.0,22612000.0,4532756000.0,5430158000.0,4944043000.0,486115000.0,2023-03-31
