Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
4016970966.0,4016970966.0,182796800000.0,187658300000.0,115734200000.0,303796900000.0,-131469200000.0,115734200000.0,116138600000.0,210233400000.0,116138600000.0,0.0,116138600000.0,75968800000.0,,,,40169800000.0,40169800000.0,321464000000.0,142522100000.0,15931700000.0,,,,24305800000.0,94094800000.0,94094800000.0,835600000.0,178941900000.0,16321700000.0,,93563500000.0,93563500000.0,103000000.0,4516200000.0,,,22500000.0,4493700000.0,437602600000.0,390129900000.0,5200600000.0,,,2151000000.0,2151000000.0,,404400000.0,263300000.0,141100000.0,348365900000.0,,348365900000.0,12934100000.0,335431800000.0,,,,,47472700000.0,2295200000.0,,2081500000.0,,,9611700000.0,,4832600000.0,13600000.0,16504100000.0,,,10442400000.0,5580900000.0,4861500000.0,,,2024-03-31,
3811182966.0,3811182966.0,204030900000.0,206046200000.0,128658500000.0,335118000000.0,-137934200000.0,128658500000.0,129071800000.0,244440700000.0,129071800000.0,0.0,129071800000.0,90960000000.0,,,,38111800000.0,38111800000.0,353565600000.0,162618300000.0,16197000000.0,,,,23506800000.0,115368900000.0,115368900000.0,853400000.0,190947300000.0,14507600000.0,,90677300000.0,90677300000.0,98600000.0,4977200000.0,,,69400000.0,4907800000.0,482637400000.0,429624300000.0,14509400000.0,516200000.0,,395400000.0,395400000.0,,413300000.0,272200000.0,141100000.0,375446500000.0,,375446500000.0,23590400000.0,351856100000.0,,,,,53013100000.0,2965800000.0,,722200000.0,,,8602700000.0,,1819100000.0,10800000.0,29051200000.0,,,8139400000.0,6124100000.0,2015300000.0,,,2023-09-30,
3735205966.0,3735205966.0,209973800000.0,212360300000.0,115531100000.0,328314100000.0,-133499600000.0,115531100000.0,115953800000.0,238357400000.0,132871300000.0,16917500000.0,115953800000.0,800000000.0,84500000.0,-16119000000.0,80534600000.0,37352100000.0,37352100000.0,352482900000.0,168744800000.0,16526000000.0,333300000.0,6368200000.0,16526000000.0,22346800000.0,122403600000.0,122403600000.0,766900000.0,183738100000.0,12417900000.0,34400000.0,89956700000.0,89956700000.0,96100000.0,90432100000.0,85071200000.0,300000.0,34400000.0,5360600000.0,485354200000.0,435115700000.0,14698000000.0,842700000.0,179700000.0,259200000.0,255500000.0,3700000.0,422700000.0,281600000.0,141100000.0,394969300000.0,-163386000000.0,558355300000.0,37631700000.0,1529000000.0,377918100000.0,10461700000.0,58984400000.0,71830400000.0,50238500000.0,1142900000.0,359300000.0,724400000.0,300000.0,2801600000.0,9253200000.0,9253200000.0,770500000.0,10500000.0,26799000000.0,0.0,26799000000.0,6852500000.0,4466000000.0,2386500000.0,513700000.0,1872800000.0,2023-03-31,
