Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Insurance And Claims,Total Revenue,Operating Revenue,Date
0.0,0.246618,0.0,0.0,213841500000.0,468253600000.0,706440200000.0,1174693800000.0,213841500000.0,213841500000.0,,,,,213841500000.0,213841500000.0,213841500000.0,-8185800000.0,222027300000.0,0.0,222027300000.0,71153900000.0,288518600000.0,0.0,613593100000.0,140893800000.0,295095200000.0,942703400000.0,942703400000.0,2024-03-31
-18453080158.978485,0.259903,-71000000000.0,-71000000000.0,110641400000.0,447764000000.0,680919400000.0,1128683400000.0,163188319841.0215,110641400000.0,8922693548.0,8922693548.0,12.4,12.4,110641400000.0,110641400000.0,110641400000.0,-5343200000.0,115984600000.0,0.0,115984600000.0,39621700000.0,152448300000.0,-71000000000.0,601331400000.0,130941400000.0,262631300000.0,849797000000.0,849797000000.0,2023-12-31
0.0,0.253127,0.0,0.0,160995800000.0,444356300000.0,629551500000.0,1073907800000.0,160995800000.0,160995800000.0,8924379157.0,8924379157.0,18.04,18.04,160995800000.0,160995800000.0,160995800000.0,-5483100000.0,166478900000.0,0.0,166478900000.0,55525300000.0,219357100000.0,0.0,569087500000.0,124276800000.0,242553500000.0,813009700000.0,813009700000.0,2023-09-30
0.0,0.256735,0.0,0.0,185368000000.0,434150700000.0,580449400000.0,1014600100000.0,185368000000.0,185368000000.0,8924795378.0,8924795378.0,20.77,20.77,185368000000.0,185368000000.0,185368000000.0,-5575400000.0,190943400000.0,0.0,190943400000.0,64716900000.0,252076400000.0,0.0,458557400000.0,113748700000.0,166716800000.0,742878400000.0,742878400000.0,2023-06-30
-63082829.281983,0.21729,-290316000.0,-290316000.0,180938428000.0,446317134000.0,534514767000.0,980831901000.0,181165661170.718,180938428000.0,,,,,180938428000.0,180938428000.0,180938428000.0,-6749192000.0,187687607000.0,0.0,187687607000.0,50923200000.0,234355686000.0,-290316000.0,471827885000.0,-140327376000.0,283043115000.0,703404968000.0,703404968000.0,2023-03-31
,,,,,,,,,,8925732411.0,8925732411.0,17.34,17.34,,,,,,,,,,,,,,,,2022-12-31
0.0,0.255298,0.0,0.0,193249600000.0,465416700000.0,717007800000.0,1182424500000.0,193249600000.0,193249600000.0,8926078522.0,8926078522.0,21.65,21.65,193249600000.0,193249600000.0,193249600000.0,-7694000000.0,200943600000.0,0.0,200943600000.0,67469700000.0,264277700000.0,0.0,485068200000.0,115145800000.0,201449300000.0,804242700000.0,804242700000.0,2024-06-30 00:00:00
