Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Special Charges
212335025.34108,0.319734,35462600000.0,1672600000.0,664100000.0,8952100000.0,10407700000.0,104835600000.0,37135200000.0,26727500000.0,-11357200000.0,11357200000.0,8500335025.34108,8952100000.0,145555400000.0,,,,,8952100000.0,8952100000.0,0.0,8952100000.0,-1503800000.0,10455900000.0,,10455900000.0,4914400000.0,15370300000.0,9989200000.0,664100000.0,,-11357200000.0,11357200000.0,12910400000.0,40719800000.0,19467100000.0,10407700000.0,10407700000.0,53630200000.0,104835600000.0,158465800000.0,158465800000.0,2024-03-31,
0.0,0.27717,35092900000.0,0.0,0.0,9530100000.0,9262700000.0,97769500000.0,35092900000.0,25830200000.0,-10942600000.0,10942600000.0,9530100000.0,9530100000.0,131598500000.0,3198020134.0,3198020134.0,2.98,2.98,9530100000.0,9530100000.0,0.0,9530100000.0,-1231100000.0,10761200000.0,,10761200000.0,4126400000.0,14887600000.0,8328500000.0,0.0,,-10942600000.0,10942600000.0,14911500000.0,33829000000.0,14750800000.0,9262700000.0,9262700000.0,48740500000.0,97769500000.0,146510000000.0,146510000000.0,2023-12-31,
0.0,0.173294,33384000000.0,0.0,0.0,8755300000.0,9258900000.0,104093600000.0,33384000000.0,24125100000.0,-11818300000.0,11818300000.0,8755300000.0,8755300000.0,135729300000.0,3195364964.0,3195364964.0,2.74,2.74,8755300000.0,8755300000.0,0.0,8755300000.0,-1418800000.0,10174100000.0,,10174100000.0,2132700000.0,12306800000.0,-41100000.0,0.0,,-11818300000.0,11818300000.0,21651000000.0,31635700000.0,12427800000.0,9258900000.0,9258900000.0,53286700000.0,104093600000.0,157380300000.0,157380300000.0,2023-09-30,
532135369.184372,0.226749,33557200000.0,2346800000.0,2346800000.0,9724900000.0,8934400000.0,100717400000.0,35904000000.0,26969600000.0,-12214100000.0,12214100000.0,7910235369.184372,9724900000.0,131631400000.0,3198980263.0,3198980263.0,3.04,3.04,9724900000.0,9724900000.0,0.0,9724900000.0,-1684800000.0,11409700000.0,,11409700000.0,3345800000.0,14755500000.0,614600000.0,2346800000.0,,-12214100000.0,12214100000.0,20501500000.0,30914000000.0,12228200000.0,8934400000.0,8934400000.0,51415500000.0,100717400000.0,152132900000.0,152132900000.0,2023-06-30,
-344849762.104191,0.189332,31345400000.0,-1821400000.0,-1821400000.0,7777300000.0,9263000000.0,109738400000.0,29524000000.0,20261000000.0,-6821600000.0,8680300000.0,9253850237.89581,7777300000.0,100723100000.0,,,,,7777300000.0,7777300000.0,0.0,7777300000.0,-1610800000.0,9388100000.0,0.0,9388100000.0,2192600000.0,11580700000.0,3172200000.0,-2743600000.0,515400000.0,-6821600000.0,8680300000.0,13266600000.0,-9015300000.0,-24298000000.0,9263000000.0,7912900000.0,4251300000.0,109738400000.0,113989700000.0,113989700000.0,2023-03-31,
,,,,,,,,,,,,,,,3203457627.0,3203457627.0,2.95,2.95,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2022-12-31,
0.0,0.202444,36394700000.0,0.0,0.0,9709100000.0,9728900000.0,111858400000.0,36394700000.0,26665800000.0,-11762400000.0,11762400000.0,9709100000.0,9709100000.0,146799500000.0,3193782895.0,3193782895.0,3.04,3.04,9709100000.0,9709100000.0,0.0,9709100000.0,-2177200000.0,11886300000.0,,11886300000.0,3017100000.0,14903400000.0,-2366000000.0,0.0,0.0,-11762400000.0,11762400000.0,26136700000.0,34941100000.0,15076000000.0,9728900000.0,9728900000.0,61077800000.0,111858400000.0,172936200000.0,172936200000.0,2024-06-30 00:00:00,
