Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Current Deferred Taxes Liabilities,Other Inventories,Cash Equivalents
,,314749000.0,315619000.0,357695000.0,674046000.0,74440000.0,357695000.0,0.0,358427000.0,574990000.0,358427000.0,358427000.0,253695000.0,,,104732000.0,104732000.0,388366000.0,230799000.0,5000.0,14231000.0,216563000.0,0.0,216563000.0,157567000.0,18014000.0,99056000.0,0.0,99056000.0,,26624000.0,,0.0,26624000.0,746793000.0,514786000.0,,,0.0,2282000.0,2282000.0,0.0,732000.0,732000.0,0.0,511772000.0,,511772000.0,268978000.0,242794000.0,,,,,232007000.0,6676000.0,,,,163972000.0,,,,268000.0,146000.0,35314000.0,,,25631000.0,24761000.0,870000.0,,2024-03-31,,,
,,195858000.0,196920000.0,322413000.0,520147000.0,144118000.0,322413000.0,0.0,323227000.0,390507000.0,323227000.0,323227000.0,218495000.0,,,104732000.0,104732000.0,261684000.0,78402000.0,,11122000.0,67280000.0,0.0,67280000.0,183282000.0,7849000.0,129640000.0,0.0,129640000.0,,31774000.0,,0.0,31774000.0,584911000.0,257511000.0,-1000.0,,0.0,2139000.0,2139000.0,0.0,814000.0,814000.0,0.0,254559000.0,,254559000.0,45326000.0,209233000.0,,,,,327400000.0,5922000.0,,,,147322000.0,,,,835000.0,477000.0,60402000.0,,,112442000.0,111380000.0,1062000.0,,2023-09-30,,,
10043939.0,10043939.0,113255000.0,113734000.0,203864000.0,318524000.0,74877000.0,203864000.0,0.0,204790000.0,259427000.0,204790000.0,204790000.0,104351000.0,104480000.0,0.0,100439000.0,100439000.0,182828000.0,65516000.0,1000.0,10878000.0,54637000.0,0.0,54637000.0,117312000.0,879000.0,59097000.0,0.0,59097000.0,2965000.0,40496000.0,752000.0,675000.0,39069000.0,387618000.0,195429000.0,-1000.0,2083000.0,0.0,2156000.0,2156000.0,0.0,926000.0,926000.0,0.0,192347000.0,-33311000.0,225658000.0,4088000.0,14179000.0,133821000.0,66473000.0,7097000.0,0.0,192189000.0,1000.0,0.0,8967000.0,11484000.0,144860000.0,57201000.0,12413000.0,75246000.0,1004000.0,0.0,25394000.0,-4028000.0,29422000.0,479000.0,8967000.0,479000.0,479000.0,2023-03-31,,,
