Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-198480000.0,0.4,967100000.0,-496200000.0,-496200000.0,-2444200000.0,400100000.0,1595700000.0,470900000.0,70800000.0,-1238800000.0,1238800000.0,-2146480000.0,-2444200000.0,10372600000.0,,,,,-2444200000.0,-2444200000.0,0.0,-2444200000.0,-2444200000.0,-2444200000.0,1276200000.0,-1168000000.0,204000000.0,-496200000.0,,-1238800000.0,1238800000.0,363000000.0,8776900000.0,7724200000.0,400100000.0,400100000.0,,,9139900000.0,1595700000.0,10735600000.0,10735600000.0,2024-03-31
0.0,0.047563,1115800000.0,0.0,0.0,-488600000.0,331300000.0,832800000.0,1115800000.0,784500000.0,-1297500000.0,1297500000.0,-488600000.0,-488600000.0,8920300000.0,311210191.0,311210191.0,-1.57,-1.57,-488600000.0,-488600000.0,0.0,-488600000.0,-488600000.0,-488600000.0,-24400000.0,-513000000.0,98300000.0,0.0,,-1297500000.0,1297500000.0,686200000.0,8087500000.0,7195900000.0,331300000.0,331300000.0,,,8773700000.0,832800000.0,9606500000.0,9606500000.0,2023-12-31
0.0,0.176728,807400000.0,0.0,0.0,-583700000.0,324900000.0,1393200000.0,807400000.0,482500000.0,-1191500000.0,1191500000.0,-583700000.0,-583700000.0,9172100000.0,310478723.0,310478723.0,-1.88,-1.88,-583700000.0,-583700000.0,0.0,-583700000.0,-583700000.0,-583700000.0,-125300000.0,-709000000.0,116600000.0,0.0,,-1191500000.0,1191500000.0,365900000.0,7778900000.0,6916900000.0,324900000.0,324900000.0,,,8144800000.0,1393200000.0,9538000000.0,9538000000.0,2023-09-30
0.0,0.079194,1117500000.0,0.0,0.0,-324400000.0,312600000.0,1107300000.0,1117500000.0,804900000.0,-1157200000.0,1157200000.0,-324400000.0,-324400000.0,9255500000.0,311923077.0,311923077.0,-1.04,-1.04,-324400000.0,-324400000.0,0.0,-324400000.0,-324400000.0,-324400000.0,-27900000.0,-352300000.0,71700000.0,0.0,,-1157200000.0,1157200000.0,733200000.0,8148200000.0,7311600000.0,312600000.0,312600000.0,2861100000.0,2861100000.0,8881400000.0,1107300000.0,9988700000.0,9988700000.0,2023-06-30
-1440000.0,0.3,1139900000.0,-4800000.0,-4800000.0,-261300000.0,258400000.0,1841600000.0,1135100000.0,876700000.0,-1099100000.0,1128300000.0,-257940000.0,-261300000.0,9538900000.0,,,,,-261300000.0,-261300000.0,0.0,-261300000.0,-261300000.0,-261300000.0,9700000.0,-251600000.0,-100000.0,-4800000.0,-1734000000.0,-1099100000.0,1128300000.0,852200000.0,7697300000.0,5805100000.0,258400000.0,170500000.0,3960700000.0,3407600000.0,8549500000.0,1841600000.0,10391100000.0,10391100000.0,2023-03-31
,,,,,,,,,,,,,,,311558442.0,311558442.0,-1.54,-1.54,,,,,,,,,,,1730700000.0,,,,,,,,2674700000.0,2674700000.0,,,,,2022-12-31
0.0,0.3,753600000.0,0.0,0.0,-620200000.0,397600000.0,912400000.0,753600000.0,356000000.0,-771700000.0,771700000.0,-620200000.0,-620200000.0,8484300000.0,310100000.0,310100000.0,-2.0,-2.0,-620200000.0,-620200000.0,0.0,-620200000.0,-620200000.0,-620200000.0,204500000.0,-415700000.0,51200000.0,0.0,,-771700000.0,771700000.0,304800000.0,7571900000.0,6599900000.0,397600000.0,397600000.0,,,7876700000.0,912400000.0,8789100000.0,8789100000.0,2024-06-30 00:00:00
