Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Total Revenue,Operating Revenue,Date
0.0,0.226238,0.0,0.0,53372000000.0,,89440200000.0,62121600000.0,151561800000.0,53372000000.0,53372000000.0,,,,,53372000000.0,53372000000.0,53372000000.0,0.0,53372000000.0,0.0,53372000000.0,15327700000.0,67750200000.0,0.0,,10584400000.0,144781000000.0,34508200000.0,,,81787700000.0,,216951700000.0,216951700000.0,2024-03-31
0.0,0.25139,0.0,0.0,42647800000.0,,85094800000.0,59854800000.0,144949600000.0,42647800000.0,42647800000.0,1987315937.0,1987315937.0,21.46,21.46,42647800000.0,42647800000.0,42647800000.0,0.0,42647800000.0,0.0,42647800000.0,14112000000.0,56135900000.0,0.0,,20173400000.0,118220800000.0,31724500000.0,,,60483200000.0,,180976700000.0,180976700000.0,2023-12-31
0.0,0.248878,0.0,0.0,44610400000.0,,81810400000.0,55355200000.0,137165600000.0,44610400000.0,44610400000.0,1987100223.0,1987100223.0,22.45,22.45,44610400000.0,44610400000.0,44610400000.0,0.0,44610400000.0,0.0,44610400000.0,14654800000.0,58883400000.0,0.0,,6432900000.0,96810200000.0,29230900000.0,,,42945000000.0,,160240000000.0,160240000000.0,2023-09-30
0.0,0.264409,0.0,0.0,41501900000.0,,80348500000.0,48340800000.0,128689300000.0,41501900000.0,41501900000.0,1986687410.0,1986687410.0,20.89,20.89,41501900000.0,41501900000.0,41501900000.0,0.0,41501900000.0,0.0,41501900000.0,14771000000.0,55864300000.0,0.0,,18394600000.0,98896200000.0,28716000000.0,,,45839600000.0,,158898300000.0,158898300000.0,2023-06-30
47415861.820222,0.243658,194600000.0,194600000.0,45663900000.0,1666500000.0,77519800000.0,42296500000.0,119816300000.0,45516715861.82022,45663900000.0,2004561018.0,2004561018.0,22.78,22.78,45663900000.0,45663900000.0,45663900000.0,0.0,45663900000.0,0.0,45663900000.0,14592000000.0,59887200000.0,194600000.0,-194600000.0,-1932000000.0,99781700000.0,21284400000.0,1666500000.0,1666500000.0,51399500000.0,2418400000.0,161347800000.0,161347800000.0,2023-03-31
,,,,,1533000000.0,,,,,,1986598707.0,1985611332.0,20.11,20.12,,,,,,,,,,,,,,,1533000000.0,1533000000.0,,2361700000.0,,,2022-12-31
9348984597.884617,0.245806,38034000000.0,38034000000.0,74481600000.0,,90315400000.0,68052500000.0,158367900000.0,45796584597.88462,74481600000.0,1987766213.0,1987766213.0,37.47,37.47,74481600000.0,74481600000.0,74481600000.0,0.0,74481600000.0,0.0,74481600000.0,24116000000.0,98109900000.0,38034000000.0,,23828000000.0,114885900000.0,32202200000.0,,,54591200000.0,,182706200000.0,182706200000.0,2024-06-30 00:00:00
