Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-15674040.618123,0.213624,796020000.0,-73372000.0,-73372000.0,508167000.0,3776000.0,843946000.0,722648000.0,718872000.0,565864959.381877,508167000.0,947935000.0,,,,,508167000.0,508167000.0,0.0,508167000.0,508167000.0,0.0,508167000.0,138047000.0,646214000.0,,-235085000.0,235085000.0,718872000.0,103989000.0,100213000.0,3776000.0,3776000.0,822861000.0,843946000.0,1666807000.0,1666807000.0,2024-03-31
-12156025.2258,0.23884,657239000.0,-50896000.0,-50896000.0,420020000.0,3630000.0,891220000.0,606343000.0,602713000.0,458759974.7742,420020000.0,963091000.0,9466306.0,8803605.0,44.37,47.71,420020000.0,420020000.0,0.0,420020000.0,420020000.0,0.0,420020000.0,131796000.0,551816000.0,,-172719000.0,172719000.0,602713000.0,71871000.0,68241000.0,3630000.0,3630000.0,674584000.0,891220000.0,1565804000.0,1565804000.0,2023-12-31
-12446094.67401,0.302119,670844000.0,-41196000.0,-41196000.0,408155000.0,3603000.0,846247000.0,629648000.0,626045000.0,436904905.32599,408155000.0,910066000.0,9380717.0,8496149.0,43.51,48.04,408155000.0,408155000.0,0.0,408155000.0,408155000.0,0.0,408155000.0,176694000.0,584849000.0,,-108423000.0,108423000.0,626045000.0,63819000.0,60216000.0,3603000.0,3603000.0,689864000.0,846247000.0,1536111000.0,1536111000.0,2023-09-30
-6882871.508402,0.198045,570753000.0,-34754000.0,-34754000.0,399387000.0,3228000.0,789284000.0,535999000.0,532771000.0,427258128.491598,399387000.0,862354000.0,9143475.0,8492175.0,43.68,47.03,399387000.0,399387000.0,0.0,399387000.0,399387000.0,0.0,399387000.0,98630000.0,498017000.0,,-134709000.0,134709000.0,532771000.0,73070000.0,69842000.0,3228000.0,3228000.0,605841000.0,789284000.0,1395125000.0,1395125000.0,2023-06-30
4120817.395115,0.258732,489207000.0,15927000.0,15927000.0,361994000.0,3099000.0,774916000.0,505134000.0,502035000.0,350187817.395115,361994000.0,864705000.0,,,,,361994000.0,361994000.0,0.0,361994000.0,361994000.0,0.0,361994000.0,126350000.0,488344000.0,-29619000.0,-140110000.0,140110000.0,502035000.0,89789000.0,86690000.0,3099000.0,3099000.0,591824000.0,774916000.0,1366740000.0,1366740000.0,2023-03-31
,,,,,,,,,,,,,8494472.0,8494472.0,25.87,25.87,,,,,,,,,,14179000.0,,,,,,,,,,,,2022-12-31
-78045406.852812,0.236696,1073732000.0,-329729000.0,-329729000.0,313038000.0,4174000.0,902094000.0,744003000.0,739829000.0,564721593.147188,313038000.0,995285000.0,10575608.0,10476506.0,29.6,29.88,313038000.0,313038000.0,0.0,313038000.0,313038000.0,0.0,313038000.0,97071000.0,410109000.0,9000.0,-438874000.0,438874000.0,739829000.0,93191000.0,89017000.0,4174000.0,4174000.0,833020000.0,902094000.0,1735114000.0,1735114000.0,2024-06-30 00:00:00
