Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Pension And Other Postretirement Benefit Plans,Work In Process
11364600.0,11364600.0,264192000.0,335866000.0,519677000.0,845040000.0,354141000.0,519677000.0,10503000.0,519677000.0,531112000.0,539901000.0,20224000.0,519677000.0,406031000.0,,,113646000.0,113646000.0,845874000.0,121041000.0,,49609000.0,,2972000.0,20726000.0,9291000.0,11435000.0,3983000.0,724833000.0,41434000.0,,315140000.0,1212000.0,313928000.0,,20087000.0,328121000.0,,,328121000.0,1385775000.0,306801000.0,21922000.0,,,71123000.0,71123000.0,,,,,0.0,,89685000.0,,89685000.0,445000.0,89240000.0,,,,1078974000.0,798918000.0,,9767000.0,,809000.0,128062000.0,141418000.0,80247000.0,61171000.0,,,2024-03-31,,
11364600.0,11364600.0,299655000.0,342678000.0,474537000.0,809386000.0,356439000.0,474537000.0,7829000.0,474537000.0,509581000.0,475843000.0,1306000.0,474537000.0,360891000.0,,,113646000.0,113646000.0,753930000.0,124486000.0,,49725000.0,,4195000.0,41788000.0,6744000.0,35044000.0,,629444000.0,47493000.0,,300890000.0,1085000.0,299805000.0,,14118000.0,266943000.0,,,266943000.0,1229773000.0,243890000.0,35799000.0,,,15617000.0,15617000.0,,,,,0.0,,89866000.0,,89866000.0,,89866000.0,,,,985883000.0,744089000.0,,,,2164000.0,118977000.0,120653000.0,85459000.0,35194000.0,,,2023-09-30,,
11364600.0,11364600.0,309279000.0,326262000.0,448259550.0,774522000.0,304054000.0,448259550.0,,448260000.0,464653000.0,448260000.0,1276000.0,448260000.0,338418000.0,290407000.0,44207000.0,113646000.0,113646000.0,721868000.0,122185000.0,33581000.0,47450000.0,20634000.0,4127000.0,16393000.0,,16393000.0,,599683000.0,3000.0,23270000.0,309869000.0,,309869000.0,11410000.0,96330000.0,158214000.0,2627000.0,24826000.0,130761000.0,1170128000.0,266391000.0,-450.0,95818000.0,0.0,88018000.0,88018000.0,885000.0,644000.0,165000.0,76000.0,450.0,450.0,81670000.0,-71297000.0,152967000.0,1500000.0,948000.0,133383000.0,17136000.0,0.0,903737000.0,3246000.0,53152000.0,0.0,655644000.0,30912000.0,136383000.0,24400000.0,7417000.0,16983000.0,2655000.0,14328000.0,2023-03-31,,
11364600.0,11364600.0,213951000.0,311491000.0,446391000.0,757882000.0,466204000.0,446391000.0,,446391000.0,500579000.0,447629000.0,1238000.0,446391000.0,332745000.0,,,113646000.0,113646000.0,720617000.0,196593000.0,1000.0,,,4362000.0,54188000.0,,54188000.0,,524024000.0,17092000.0,,257303000.0,,257303000.0,,129372000.0,106851000.0,,,106851000.0,1168246000.0,178017000.0,22554000.0,,,70805000.0,70805000.0,,,,,0.0,,84658000.0,,,,,,,,990228000.0,9090000.0,,,679248000.0,8937000.0,136003000.0,156950000.0,59410000.0,97540000.0,,,2022-12-31,,
