Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Other Non Current Liabilities,Land And Improvements
11132800.0,11132800.0,418068000.0,632684000.0,557679000.0,980875000.0,332475000.0,557679000.0,209718000.0,557909000.0,583508000.0,557909000.0,557909000.0,446581000.0,,111328000.0,111328000.0,1052606000.0,224064000.0,,198255000.0,172656000.0,25599000.0,12438000.0,828542000.0,19699000.0,,434429000.0,37062000.0,397367000.0,,11859000.0,335261000.0,,,335261000.0,1610515000.0,449498000.0,,,22366000.0,31107000.0,31107000.0,,,230000.0,230000.0,395795000.0,,395795000.0,,395795000.0,,,,1161017000.0,84039000.0,,,514394000.0,,,10618000.0,488773000.0,,,63193000.0,58295000.0,4898000.0,,,2024-03-31,,
10582800.0,10582800.0,102757000.0,410991000.0,509741000.0,768308000.0,376842000.0,509741000.0,152692000.0,510009000.0,539026000.0,510009000.0,510009000.0,398931000.0,,111078000.0,111078000.0,1079153000.0,164002000.0,,138410000.0,109393000.0,29017000.0,11271000.0,915151000.0,27251000.0,,272581000.0,43299000.0,229282000.0,,22514000.0,572293000.0,,,572293000.0,1589162000.0,297169000.0,15051000.0,,20665000.0,21233000.0,21233000.0,,,268000.0,268000.0,239952000.0,,239952000.0,4298000.0,235654000.0,,,,1291993000.0,95077000.0,,,398706000.0,,,1509000.0,569909000.0,,,226792000.0,71250000.0,155542000.0,,,2023-09-30,,
10582800.0,10582800.0,247194000.0,351378000.0,275949000.0,529581000.0,195670000.0,275949000.0,98055000.0,276258000.0,305006000.0,276258000.0,276258000.0,583000.0,154275000.0,105828000.0,105828000.0,672738000.0,116407000.0,9985000.0,106422000.0,77674000.0,28748000.0,9985000.0,556331000.0,16041000.0,3488000.0,244956000.0,20381000.0,224575000.0,4452000.0,7941000.0,287394000.0,14348000.0,4785000.0,268261000.0,948996000.0,196996000.0,1686000.0,13948000.0,27256000.0,14748000.0,14748000.0,799000.0,799000.0,309000.0,309000.0,154684000.0,-86370000.0,241054000.0,1686000.0,152998000.0,94393000.0,144975000.0,0.0,752001000.0,595000.0,53550000.0,61247000.0,307633000.0,307633000.0,2760000.0,45000.0,320042000.0,-1812000.0,321854000.0,6129000.0,56310000.0,6129000.0,500000.0,5629000.0,2023-03-31,,
