Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,85769400.0,85769400.0,6349000.0,3890115000.0,3897114000.0,2991547000.0,3890115000.0,0.0,3890765000.0,3890765000.0,3782956000.0,-107809000.0,3890765000.0,3033071000.0,,,857694000.0,857694000.0,6873877000.0,229472000.0,3426000.0,,,44418000.0,0.0,,,,6900000.0,6644405000.0,705890000.0,6349000.0,0.0,6349000.0,,276326000.0,879503000.0,,,879503000.0,10656833000.0,1020881000.0,138099000.0,,318606000.0,118132000.0,118132000.0,650000.0,,445394000.0,,445394000.0,43391000.0,402003000.0,,,,,9635952000.0,1709366000.0,8914000.0,3919735000.0,,126824000.0,,,,,,,751634000.0,,,3119479000.0,2571253000.0,548226000.0,,,2024-03-31
0.0,85769400.0,85769400.0,6300000.0,3591868000.0,3601082000.0,2842682000.0,3591868000.0,,3594782000.0,3594782000.0,3488607000.0,-106175000.0,3594782000.0,2737088000.0,,,857694000.0,857694000.0,5246444000.0,383569000.0,,,,45360000.0,,0.0,,,161839000.0,4862875000.0,517691000.0,6300000.0,,6300000.0,,431743000.0,861318000.0,,,861318000.0,8735051000.0,1029494000.0,138114000.0,,417798000.0,16047000.0,16047000.0,2914000.0,,454621000.0,,454621000.0,33461000.0,421160000.0,,,,,7705557000.0,1921110000.0,8914000.0,1885062000.0,,109152000.0,,,,,,,796379000.0,,,2984940000.0,2751960000.0,232980000.0,,,2023-09-30
,85769400.0,85769400.0,6300000.0,3418031000.0,3424907000.0,2829954000.0,3418031000.0,0.0,3418607000.0,3418607000.0,3316402000.0,-102205000.0,3418607000.0,2560911000.0,331771000.0,547500000.0,857694000.0,857694000.0,6021067000.0,572071000.0,,365540000.0,160136000.0,46395000.0,0.0,0.0,0.0,0.0,365540000.0,5448996000.0,331107000.0,6300000.0,6300000.0,6300000.0,354519000.0,3292019000.0,1661454000.0,509252000.0,147000.0,1152055000.0,9337469000.0,1058519000.0,137915000.0,14832000.0,415476000.0,1000.0,1000.0,576000.0,576000.0,489719000.0,-440155000.0,929874000.0,33461000.0,456383000.0,526296000.0,347031000.0,23086000.0,0.0,8278950000.0,309989000.0,8914000.0,2566939000.0,161916000.0,103890000.0,-492000.0,93051000.0,0.0,11331000.0,1515374000.0,547920000.0,783125000.0,-828010000.0,1611135000.0,2280883000.0,2007689000.0,273194000.0,233000.0,272961000.0,2023-03-31
