Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Work In Process,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
173416440.0,173416440.0,320119000.0,377538000.0,578599000.0,953869000.0,600217000.0,578599000.0,2268000.0,578599000.0,628871000.0,592229000.0,13630000.0,578599000.0,405183000.0,,,173416000.0,173416000.0,679893000.0,55232000.0,,3881000.0,51351000.0,1079000.0,50272000.0,,624661000.0,70053000.0,326187000.0,1189000.0,324998000.0,625000.0,93957000.0,,0.0,93957000.0,1272122000.0,47244000.0,25709000.0,,1388000.0,7139000.0,7139000.0,12472000.0,,12472000.0,,12472000.0,,1224878000.0,19633000.0,,1059267000.0,,,68197000.0,,,77781000.0,22630000.0,55151000.0,,,2024-03-31
173416440.0,173416440.0,374995000.0,392580000.0,353228000.0,743891000.0,197674000.0,353228000.0,1917000.0,353228000.0,353512000.0,366835000.0,13607000.0,353228000.0,179812000.0,,,173416000.0,173416000.0,906626000.0,4803000.0,,3679000.0,1124000.0,840000.0,284000.0,,901823000.0,239714000.0,391456000.0,1077000.0,390379000.0,556000.0,85308000.0,,13313000.0,71995000.0,1273461000.0,173964000.0,87898000.0,,66591000.0,9090000.0,9090000.0,10385000.0,,10385000.0,,10385000.0,,1099497000.0,22697000.0,,990423000.0,,,10856000.0,,,75521000.0,59853000.0,15668000.0,,,2023-09-30
173420000.0,173420000.0,306220000.0,316144000.0,111208000.0,424997000.0,44219000.0,111208000.0,2355000.0,111208000.0,161977000.0,124826000.0,13618000.0,111208000.0,-3700000.0,-85208000.0,23000000.0,173416000.0,173416000.0,1077992000.0,59205000.0,-1000.0,1231000.0,52175000.0,1406000.0,50769000.0,5800000.0,1018787000.0,457854000.0,263969000.0,949000.0,263020000.0,1447000.0,323869000.0,190674000.0,52473000.0,80722000.0,1202818000.0,139811000.0,66644000.0,9596000.0,1995000.0,2014000.0,2014000.0,59562000.0,-18020000.0,77582000.0,52025000.0,5465000.0,20092000.0,1063006000.0,6422000.0,6422000.0,1031194000.0,1031194000.0,1520000.0,6826000.0,0.0,6826000.0,17044000.0,9475000.0,7569000.0,89000.0,7480000.0,2023-03-31
173420000.0,173420000.0,305830000.0,311978000.0,546412000.0,858390000.0,666146000.0,546412000.0,,546412000.0,858105000.0,546443000.0,31000.0,546412000.0,372996000.0,,,173416000.0,173416000.0,608441000.0,481827000.0,169121000.0,,311693000.0,,311693000.0,1013000.0,126614000.0,1137000.0,285000.0,,285000.0,55020000.0,70172000.0,,,70172000.0,1154884000.0,362125000.0,8313000.0,,426000.0,,,3530000.0,,,,,,792760000.0,4350000.0,,566359000.0,,20060000.0,191560000.0,,,10431000.0,4283000.0,6148000.0,,,2022-12-31
