Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
60000000.0,60000000.0,3865545000.0,3931062000.0,3299341000.0,7237769000.0,2897971000.0,3299341000.0,3306707000.0,3308172000.0,3326878000.0,20171000.0,3306707000.0,3186707000.0,,,,120000000.0,120000000.0,4375803000.0,29423000.0,1000.0,,17473000.0,1465000.0,1465000.0,10484000.0,4346380000.0,43623000.0,,3929597000.0,3929597000.0,671000.0,370775000.0,,,70289000.0,300486000.0,7702681000.0,458331000.0,8700000.0,,80000000.0,80000000.0,,7366000.0,3423000.0,3943000.0,362265000.0,,362265000.0,0.0,362265000.0,,,,,7244351000.0,63754000.0,,,2176162000.0,,,,,0.0,4818809000.0,185626000.0,120109000.0,65517000.0,,2024-03-31
60000000.0,60000000.0,1825816000.0,1889343000.0,2977140000.0,4874259000.0,2527714000.0,2977140000.0,2984916000.0,2986890000.0,2997449000.0,12533000.0,2984916000.0,2864916000.0,,,,120000000.0,120000000.0,2638872000.0,33782000.0,,,27679000.0,1974000.0,1974000.0,4129000.0,2605090000.0,177670000.0,,1887369000.0,1887369000.0,613000.0,535480000.0,,,36787000.0,498693000.0,5636321000.0,503517000.0,7130000.0,,118200000.0,118200000.0,,7776000.0,3833000.0,3943000.0,370411000.0,,370411000.0,6359000.0,364052000.0,,,,,5132804000.0,84110000.0,,,1405181000.0,,,,,5351000.0,3524779000.0,113383000.0,49856000.0,63527000.0,,2023-09-30
60000000.0,60000000.0,4099721000.0,4131114000.0,2731782000.0,6871076000.0,2273200000.0,2731782000.0,2739962000.0,2743342000.0,2750755000.0,10793000.0,2739962000.0,2619962000.0,19485000.0,2401086000.0,64663000.0,120000000.0,120000000.0,5089359000.0,33572000.0,2000.0,3581000.0,26611000.0,3380000.0,3380000.0,3581000.0,5055787000.0,48386000.0,107156000.0,4127734000.0,4127734000.0,545000.0,801148000.0,39247000.0,976000.0,107156000.0,760925000.0,7840114000.0,511127000.0,1000.0,7600000.0,118200000.0,118200000.0,118200000.0,8180000.0,4237000.0,3943000.0,377146000.0,-288286000.0,665432000.0,,,443847000.0,152308000.0,69277000.0,0.0,7328987000.0,84694000.0,978000.0,84747000.0,3129651000.0,10913000.0,2071000000.0,1047738000.0,37142000.0,5524000.0,4026562000.0,44383000.0,12990000.0,31393000.0,31393000.0,2023-03-31
