Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,33281000.0,51261000.0,37246000.0,402804000.0,33281000.0,-3965000.0,-25109000.0,25109000.0,51261000.0,51261000.0,742876000.0,,,,,51261000.0,51261000.0,0.0,51261000.0,51261000.0,51261000.0,-80335000.0,-29074000.0,36396000.0,-25109000.0,25109000.0,-40361000.0,340072000.0,189624000.0,37246000.0,37246000.0,299711000.0,402804000.0,702515000.0,702515000.0,2024-03-31
0.0,0.3,27773000.0,-74081000.0,38683000.0,421168000.0,27773000.0,-10910000.0,-30519000.0,30519000.0,-74081000.0,-74081000.0,775147000.0,12973905.0,12973905.0,-5.71,-5.71,-74081000.0,-74081000.0,0.0,-74081000.0,-74081000.0,-74081000.0,32652000.0,-41429000.0,2805000.0,-30519000.0,30519000.0,-13715000.0,353979000.0,198806000.0,38683000.0,38683000.0,340264000.0,421168000.0,761432000.0,761432000.0,2023-12-31
0.0,0.3,60616000.0,-25854000.0,35324000.0,629148000.0,60616000.0,25292000.0,-29351000.0,29351000.0,-25854000.0,-25854000.0,966739000.0,12991960.0,12991960.0,-1.99,-1.99,-25854000.0,-25854000.0,0.0,-25854000.0,-25854000.0,-25854000.0,21794000.0,-4059000.0,4743000.0,-29351000.0,29351000.0,20549000.0,337591000.0,171794000.0,35324000.0,35324000.0,358140000.0,629148000.0,987288000.0,987288000.0,2023-09-30
0.0,0.071232,1641000.0,-59886000.0,37052000.0,609212000.0,1641000.0,-35411000.0,-29068000.0,29068000.0,-59886000.0,-59886000.0,941180000.0,12962338.0,12962338.0,-4.62,-4.62,-59886000.0,-59886000.0,0.0,-59886000.0,-59886000.0,-59886000.0,-4593000.0,-64479000.0,4205000.0,-29068000.0,29068000.0,-39616000.0,331968000.0,173378000.0,37052000.0,37052000.0,292352000.0,609212000.0,901564000.0,901564000.0,2023-06-30
0.0,0.322997,138187000.0,63163000.0,36304000.0,1098348000.0,138187000.0,101883000.0,-18377000.0,8585000.0,63163000.0,63163000.0,993475000.0,,,,,63163000.0,63163000.0,0.0,63163000.0,63163000.0,63163000.0,30135000.0,93298000.0,-961000.0,-18377000.0,8585000.0,-26883000.0,-104873000.0,-336466000.0,36304000.0,35792000.0,-131756000.0,1098348000.0,966592000.0,966592000.0,2023-03-31
,,,,,,,,,,,,,12967358.0,12967358.0,-7.23,-7.23,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.276646,80290000.0,13560000.0,36499000.0,229707000.0,80290000.0,43791000.0,-25045000.0,25045000.0,13560000.0,13560000.0,565716000.0,12914286.0,12914286.0,1.05,1.05,13560000.0,13560000.0,0.0,13560000.0,13560000.0,13560000.0,5186000.0,18746000.0,2719000.0,-25045000.0,25045000.0,41072000.0,336009000.0,160622000.0,36499000.0,36499000.0,377081000.0,229707000.0,606788000.0,606788000.0,2024-06-30 00:00:00
