Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Liabilities Heldfor Sale Non Current,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
26415811.0,26415811.0,16648000.0,17000000.0,142790000.0,159822000.0,-12076000.0,142790000.0,142822000.0,142822000.0,142822000.0,142822000.0,116406000.0,,,26416000.0,26416000.0,35228000.0,12366000.0,0.0,,189000.0,,,,,12177000.0,22862000.0,1127000.0,17000000.0,17000000.0,,151000.0,,,151000.0,178050000.0,167264000.0,,155000000.0,155000000.0,32000.0,32000.0,12232000.0,,12232000.0,12232000.0,,,,10786000.0,560000.0,,3444000.0,83000.0,6699000.0,6347000.0,352000.0,,2024-03-31
26415811.0,26415811.0,21685000.0,21715000.0,142205000.0,163961000.0,-18968000.0,142205000.0,142246000.0,142246000.0,142246000.0,142246000.0,115830000.0,,,26416000.0,26416000.0,39613000.0,12765000.0,0.0,,588000.0,0.0,0.0,0.0,0.0,12177000.0,26848000.0,1258000.0,21715000.0,21715000.0,,0.0,,0.0,,181859000.0,173979000.0,0.0,155425000.0,155425000.0,41000.0,41000.0,12322000.0,,12322000.0,12322000.0,,,,7880000.0,1316000.0,,131000.0,,6433000.0,6403000.0,30000.0,,2023-09-30
26415811.0,26415811.0,25700550.0,25715000.0,141181600.0,166946610.0,-22789340.0,141181600.0,141231610.0,141231610.0,141231610.0,141231610.0,114815800.0,114815800.0,0.0,26415810.0,26415810.0,42683680.0,12535720.0,,0.0,358970.0,,,,,12176750.0,30147960.0,,25715000.0,25715000.0,0.0,3215090.0,3215090.0,,,183915290.0,176556670.0,,155442940.0,155442940.0,50010.0,50010.0,12323450.0,-4793600.0,17117050.0,,3644220.0,13472830.0,0.0,7358620.0,,27870.0,1047470.0,,6283280.0,6268830.0,14450.0,14450.0,2023-03-31
