Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Special Charges
0.0,0.4,76985000.0,0.0,0.0,72554000.0,994558000.0,76985000.0,76985000.0,-56787000.0,56787000.0,72554000.0,72554000.0,1107793000.0,,,,,72554000.0,72554000.0,0.0,72554000.0,72553000.0,0.0,72553000.0,-52355000.0,20198000.0,5543000.0,0.0,-56787000.0,56787000.0,71443000.0,113235000.0,113235000.0,184678000.0,994558000.0,1179236000.0,1179236000.0,2024-03-31,
0.0,0.3,54436000.0,0.0,0.0,-74924000.0,1013923000.0,54436000.0,54436000.0,-52714000.0,52714000.0,-74924000.0,-148021000.0,1156243000.0,149516162.0,149516162.0,-0.99,-0.99,-148021000.0,-148021000.0,0.0,-148021000.0,-148021000.0,-73097000.0,-74924000.0,76646000.0,1722000.0,42255000.0,0.0,-52714000.0,52714000.0,12182000.0,142320000.0,142320000.0,154502000.0,1013923000.0,1168425000.0,1168425000.0,2023-12-31,
0.0,0.3,55102000.0,0.0,0.0,21094000.0,778270000.0,55102000.0,55102000.0,-19925000.0,19925000.0,21094000.0,21094000.0,898664000.0,150519000.0,150519000.0,0.14,0.14,21094000.0,21094000.0,0.0,21094000.0,21094000.0,0.0,21094000.0,14083000.0,35177000.0,7972000.0,0.0,-19925000.0,19925000.0,47130000.0,120394000.0,120394000.0,167524000.0,778270000.0,945794000.0,945794000.0,2023-09-30,
0.0,0.3,73765000.0,,,37263000.0,859166000.0,73765000.0,73765000.0,-10755000.0,10755000.0,37263000.0,37263000.0,985428000.0,149052000.0,149052000.0,0.25,0.25,37263000.0,37263000.0,0.0,37263000.0,37263000.0,,37263000.0,25747000.0,63010000.0,3935000.0,,-10755000.0,10755000.0,69830000.0,126262000.0,126262000.0,196092000.0,859166000.0,1055258000.0,1055258000.0,2023-06-30,
0.0,0.332825,136204000.0,0.0,0.0,66468000.0,801219000.0,136204000.0,136204000.0,-36578000.0,36578000.0,66468000.0,33484000.0,927849000.0,,,,,33484000.0,33484000.0,0.0,33484000.0,33484000.0,-32984000.0,66468000.0,33158000.0,99626000.0,28596000.0,0.0,-36578000.0,36578000.0,107607000.0,126630000.0,126630000.0,234237000.0,801219000.0,1035456000.0,1035456000.0,2023-03-31,
,,,190642000.0,190642000.0,,,,,,,,,,150640569.0,150640569.0,2.81,2.81,,,,,,0.0,,,,,190642000.0,,,,,,,,,,2022-12-31,
-16424225.391036,0.335846,-93812000.0,-48904000.0,-48904000.0,-130738000.0,1071207000.0,-142716000.0,-142716000.0,-54133000.0,54133000.0,-98258225.391036,-130738000.0,1282940000.0,150273563.0,150273563.0,-0.87,-0.87,-130738000.0,-130738000.0,0.0,-130738000.0,-130738000.0,0.0,-130738000.0,-66111000.0,-196849000.0,12844000.0,-48904000.0,-54133000.0,54133000.0,-106656000.0,211733000.0,211733000.0,105077000.0,1071207000.0,1176284000.0,1176284000.0,2024-06-30 00:00:00,48904000.0
-3661500.0,0.3,50861000.0,-12205000.0,-12205000.0,-22994000.0,1144000000.0,38656000.0,38656000.0,-58211000.0,58211000.0,-14450500.0,-22994000.0,1309243000.0,153293333.0,153293333.0,-0.15,-0.15,-22994000.0,-22994000.0,0.0,-22994000.0,-22994000.0,0.0,-22994000.0,3439000.0,-19555000.0,28908000.0,-12205000.0,-58211000.0,58211000.0,21953000.0,165243000.0,165243000.0,187196000.0,1144000000.0,1331196000.0,1331196000.0,2024-09-30 00:00:00,12205000.0
