Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
162105172.0,162105172.0,5524217000.0,6400721000.0,2428918000.0,8841696000.0,8734483000.0,2428918000.0,2440975000.0,8841696000.0,2440975000.0,2440975000.0,2278870000.0,,,162105000.0,162105000.0,6814857000.0,6814857000.0,12882000.0,,31726000.0,6400721000.0,6400721000.0,4606000.0,0.0,,,,,,0.0,,0.0,9255832000.0,521349000.0,100394000.0,,332707000.0,332707000.0,12057000.0,,76191000.0,,76191000.0,76191000.0,,,,,8734483000.0,,,6193332000.0,27824000.0,0.0,2513327000.0,1636823000.0,876504000.0,,,2024-03-31
150995172.0,150995172.0,3572309000.0,3991896000.0,1593177000.0,5603249000.0,5519402000.0,1593177000.0,1611353000.0,5603249000.0,1611353000.0,1611353000.0,1460358000.0,,,150995000.0,150995000.0,4235287000.0,4235287000.0,98945000.0,,4196000.0,3991896000.0,3991896000.0,2960000.0,0.0,,,,,,0.0,0.0,0.0,5846640000.0,327238000.0,144234000.0,0.0,138175000.0,138175000.0,18176000.0,,26653000.0,,26653000.0,26653000.0,,,,,5519402000.0,,,3987464000.0,10043000.0,0.0,1521895000.0,1102308000.0,419587000.0,,,2023-09-30
150995172.0,150995172.0,1738413000.0,1909897000.0,1533862000.0,3446711000.0,1929439000.0,1533862000.0,1536814000.0,2443458000.0,1536814000.0,1536814000.0,14717000.0,280403000.0,422268000.0,50332000.0,50332000.0,2417915000.0,1332347000.0,405503000.0,1537000.0,0.0,906644000.0,906644000.0,1567000.0,1085568000.0,10862000.0,0.0,1003253000.0,1003253000.0,30000.0,0.0,0.0,0.0,3954729000.0,939722000.0,93568000.0,6010000.0,45268000.0,45268000.0,2952000.0,2952000.0,28563000.0,-7990000.0,36553000.0,28563000.0,8527000.0,27926000.0,100000.0,0.0,3015007000.0,1010764000.0,102681000.0,1700079000.0,7415000.0,0.0,201483000.0,29999000.0,171484000.0,50005000.0,121479000.0,2023-03-31
