Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Cash Equivalents
,10251000.0,10251000.0,,2326000.0,747894000.0,796609000.0,390294000.0,747894000.0,2326000.0,796609000.0,796609000.0,796609000.0,796609000.0,694099000.0,,,102510000.0,102510000.0,108572000.0,22560000.0,10786000.0,,,3331000.0,1171000.0,1171000.0,7272000.0,86012000.0,36414000.0,1155000.0,1155000.0,0.0,,3856000.0,30881000.0,,4597000.0,26284000.0,905181000.0,428875000.0,76341000.0,,0.0,10678000.0,,10678000.0,,,,998000.0,48715000.0,48715000.0,292143000.0,,292143000.0,0.0,292143000.0,,,,,476306000.0,17960000.0,,,179902000.0,,,,1680000.0,0.0,127924000.0,,,148840000.0,127589000.0,21251000.0,,2024-03-31,
,10251000.0,10251000.0,,1148000.0,651182000.0,700661000.0,280776000.0,651182000.0,1148000.0,700661000.0,700661000.0,700661000.0,700661000.0,598151000.0,,,102510000.0,102510000.0,78883000.0,14394000.0,6517000.0,,,,158000.0,158000.0,7719000.0,64489000.0,34564000.0,990000.0,990000.0,0.0,,3319000.0,18790000.0,,,18790000.0,779544000.0,434279000.0,76922000.0,,587000.0,13745000.0,,13745000.0,,,,1054000.0,49479000.0,49479000.0,292492000.0,,292492000.0,,292492000.0,,,,,345265000.0,48365000.0,,,218707000.0,,,,2462000.0,15000.0,38599000.0,,,37117000.0,25269000.0,11848000.0,,2023-09-30,
0.0,10251000.0,10251000.0,26957000.0,31911000.0,625560000.0,705653000.0,243864000.0,625560000.0,2057000.0,675799000.0,675799000.0,675799000.0,675799000.0,573289000.0,395719000.0,177570000.0,102510000.0,102510000.0,122446000.0,9465000.0,1000.0,7328000.0,1481000.0,,655000.0,655000.0,7328000.0,112981000.0,44323000.0,31256000.0,1402000.0,29854000.0,6746000.0,3357000.0,28489000.0,2528000.0,,25961000.0,798245000.0,441400000.0,31875000.0,31579000.0,7543000.0,11189000.0,104000.0,11078000.0,7000.0,0.0,0.0,1109000.0,50239000.0,50239000.0,300704000.0,-89626000.0,390330000.0,0.0,22502000.0,120200000.0,205369000.0,42259000.0,0.0,356845000.0,4728000.0,5650000.0,31656000.0,231243000.0,36990000.0,18709000.0,175544000.0,2701000.0,1257000.0,65206000.0,-1225000.0,66431000.0,14404000.0,11507000.0,2897000.0,2897000.0,2023-03-31,
