Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Accounts Payable,Total Assets,Defined Pension Benefit,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
,2615926272.0,2615926272.0,39120900000.0,88263400000.0,127384300000.0,88263400000.0,88263400000.0,127384300000.0,88263400000.0,88263400000.0,26400000.0,,,2615900000.0,2615900000.0,1085861400000.0,39120900000.0,,,1174124800000.0,,239765200000.0,239765200000.0,,,9664800000.0,,,,,,,,100221800000.0,,66597000000.0,2024-03-31,
0.0,2277871890.0,2277871890.0,42125400000.0,73964700000.0,116090100000.0,73964700000.0,73964700000.0,116090100000.0,73964700000.0,73964700000.0,17800000.0,,,2092700000.0,2092700000.0,1061168800000.0,42125400000.0,,,1135133500000.0,,253341100000.0,253341100000.0,,,9307800000.0,,,,,,,,68791600000.0,,50558000000.0,2023-12-31,
,2277871890.0,2277871890.0,58981900000.0,70902000000.0,129883900000.0,70902000000.0,70902000000.0,129883900000.0,70902000000.0,70902000000.0,8800000.0,,,2092700000.0,2092700000.0,1056524000000.0,58981900000.0,,,1127426000000.0,,259292200000.0,259292200000.0,,,8862400000.0,,,,,,,,81476900000.0,,52919800000.0,2023-09-30,
,2277871890.0,2277871890.0,56454900000.0,68774300000.0,125229200000.0,68774300000.0,68774300000.0,125229200000.0,68774300000.0,68774300000.0,2300000.0,,,2092700000.0,2092700000.0,1036621100000.0,56454900000.0,,,1105395400000.0,,259305200000.0,259305200000.0,,,8737700000.0,,,,,,,,68014000000.0,,50298100000.0,2023-06-30,
,2277871890.0,2277871890.0,68217001000.0,66747359000.0,134964360000.0,66747359000.0,66747359000.0,134964360000.0,66747359000.0,66747359000.0,1092000.0,2245333000.0,17668966000.0,2092741000.0,2092741000.0,1010224276000.0,68217001000.0,2041463000.0,2041463000.0,1076971635000.0,0.0,246413041000.0,246413041000.0,7482103000.0,0.0,8779262000.0,-7139727000.0,15918989000.0,1239985000.0,8246607000.0,6432397000.0,2676503000.0,92651431000.0,96669461000.0,0.0,5169959000.0,2023-03-31,
,2616277861.0,2616277861.0,26091600000.0,93997900000.0,120089500000.0,93997900000.0,93997900000.0,120089500000.0,93997900000.0,93997900000.0,49600000.0,,,2616300000.0,2616300000.0,1109637500000.0,26091600000.0,,,1203635400000.0,,217882700000.0,217882700000.0,,,9888300000.0,,,,,,,,109448000000.0,,57849700000.0,2024-09-30 00:00:00,109448000000.0
