Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,,317876913.0,317876913.0,31200000.0,9519000000.0,9598000000.0,6629800000.0,9519000000.0,31200000.0,9598000000.0,9598000000.0,9613200000.0,15200000.0,9598000000.0,9280100000.0,,,317900000.0,317900000.0,6923500000.0,237100000.0,88500000.0,24100000.0,24100000.0,,124500000.0,6686400000.0,4133600000.0,7100000.0,7100000.0,,,380000000.0,1969500000.0,,,223900000.0,1745600000.0,16536700000.0,3220500000.0,6600000.0,,,261500000.0,261500000.0,26800000.0,,79000000.0,45300000.0,33700000.0,2761900000.0,,2761900000.0,13600000.0,2748300000.0,,,,,13316200000.0,338100000.0,,,,2262800000.0,,,,,,,1780900000.0,,,8934400000.0,8643200000.0,291200000.0,,,2024-03-31
0.0,,317876913.0,317876913.0,33500000.0,8800000000.0,8873100000.0,5967200000.0,8800000000.0,33500000.0,8873100000.0,8873100000.0,8884500000.0,11400000.0,8873100000.0,8555200000.0,,,317900000.0,317900000.0,7042500000.0,175300000.0,44700000.0,25800000.0,25800000.0,,104800000.0,6867200000.0,4318200000.0,7700000.0,7700000.0,,,237700000.0,2113100000.0,,,175200000.0,1937900000.0,15927000000.0,3092600000.0,8500000.0,,,126800000.0,126800000.0,23000000.0,23000000.0,73100000.0,40400000.0,32700000.0,2767800000.0,,2767800000.0,25000000.0,2742800000.0,,,,,12834400000.0,349400000.0,,,,2563200000.0,,,,,,,1485700000.0,,,8436100000.0,7792500000.0,643600000.0,,,2023-09-30
,5000000.0,317876913.0,317876913.0,37160000.0,7516620000.0,7603500000.0,4846420000.0,7516620000.0,37160000.0,7603500000.0,7603500000.0,7613440000.0,9940000.0,7603500000.0,7285600000.0,7044670000.0,40100000.0,317870000.0,317870000.0,5785380000.0,164170000.0,43620000.0,27720000.0,27720000.0,0.0,92830000.0,5621210000.0,63770000.0,9440000.0,9440000.0,0.0,274740000.0,246150000.0,1317220000.0,26250000.0,1240000.0,141590000.0,1148140000.0,13398820000.0,2931190000.0,11800000.0,20920000.0,0.0,70000000.0,70000000.0,,,86880000.0,51970000.0,34910000.0,2659890000.0,-1214190000.0,3874080000.0,54280000.0,45750000.0,1810320000.0,1515510000.0,448220000.0,0.0,10467630000.0,375700000.0,0.0,7370000.0,228170000.0,2000320000.0,30000.0,341310000.0,960420000.0,698560000.0,151370000.0,146230000.0,1292800000.0,-107360000.0,1400160000.0,6641370000.0,6344240000.0,297130000.0,0.0,297130000.0,2023-03-31
