Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Buildings And Improvements,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
158351454.0,158351454.0,13011500000.0,79212000000.0,92223500000.0,79212000000.0,79212000000.0,92223500000.0,79212000000.0,79212000000.0,,,1583500000.0,1583500000.0,536312600000.0,13011500000.0,,,,615524600000.0,152626000000.0,152626000000.0,,,2709800000.0,,,,,,,35681200000.0,,22301300000.0,2024-03-31,
158351454.0,158351454.0,12150600000.0,76681400000.0,88832000000.0,76681400000.0,76681400000.0,88832000000.0,76681400000.0,76681400000.0,,,1583500000.0,1583500000.0,520645600000.0,12150600000.0,,,,597327000000.0,155130600000.0,155130600000.0,,,2692000000.0,,,,,,,33123500000.0,,29285000000.0,2023-12-31,
158351454.0,158351454.0,6500000000.0,73839100000.0,80339100000.0,73839100000.0,73839100000.0,80339100000.0,73839100000.0,73839100000.0,,,1583500000.0,1583500000.0,517472400000.0,6500000000.0,,,,591311500000.0,156756800000.0,156756800000.0,,,2688900000.0,,,,,,,33029500000.0,,29088900000.0,2023-09-30,
158351454.0,158351454.0,2054900000.0,71895700000.0,73950600000.0,71895700000.0,71895700000.0,73950600000.0,71895700000.0,71895700000.0,,,1583500000.0,1583500000.0,505045100000.0,2054900000.0,,,,576940800000.0,150422800000.0,150422800000.0,,,2497800000.0,,,,,,,32569800000.0,,28673700000.0,2023-06-30,
158351454.0,158351454.0,5250000000.0,69283455000.0,74533400000.0,69283455000.0,69283455000.0,74533400000.0,69283455000.0,69283455000.0,1232879000.0,7692274000.0,1583515000.0,1583515000.0,509670203000.0,5250000000.0,4770714000.0,3319645000.0,1451069000.0,578953658000.0,141560378000.0,141560378000.0,5791132000.0,0.0,2456482000.0,-4904523000.0,7361005000.0,6553235000.0,807770000.0,10731933000.0,6188005000.0,35819854000.0,11983147000.0,4804697000.0,2023-03-31,
158351454.0,158351454.0,19974300000.0,82443100000.0,102417400000.0,82443100000.0,82443100000.0,102417400000.0,82443100000.0,82443100000.0,,,1583500000.0,1583500000.0,544264800000.0,19974300000.0,,,,626707900000.0,151385700000.0,151385700000.0,,,2595200000.0,,,,,,,42874400000.0,,29252500000.0,2024-06-30 00:00:00,
