Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,1841256154.0,1841256154.0,,2200000.0,-28326000000.0,-27561900000.0,-46195400000.0,-28326000000.0,1400000.0,-27562700000.0,-27562700000.0,-27563400000.0,-700000.0,-27562700000.0,-29404000000.0,,,1841300000.0,1841300000.0,54654800000.0,90700000.0,38500000.0,31900000.0,,,,,,54564100000.0,4219100000.0,2200000.0,1400000.0,800000.0,,44439400000.0,4920200000.0,,,,4920200000.0,27091400000.0,18722700000.0,3422200000.0,,0.0,71300000.0,71300000.0,763300000.0,762700000.0,600000.0,13476400000.0,,13476400000.0,2779000000.0,10697400000.0,,,,8368700000.0,5672000000.0,,,,109200000.0,,,,658300000.0,,,1929200000.0,1631700000.0,297500000.0,,2024-03-31
0.0,1841256154.0,1841256154.0,,22800000.0,-11417000000.0,-7644100000.0,-45699800000.0,-11417000000.0,22000000.0,-7644900000.0,-7644900000.0,-7645500000.0,-600000.0,-7644900000.0,-9486200000.0,,,1841300000.0,1841300000.0,53950500000.0,147100000.0,36400000.0,,,20600000.0,20600000.0,,90100000.0,53803400000.0,5060000000.0,2200000.0,1400000.0,800000.0,,42402700000.0,5380100000.0,,,209400000.0,5170700000.0,46305000000.0,38201400000.0,3468600000.0,,15786400000.0,82400000.0,82400000.0,3772100000.0,3771500000.0,600000.0,14045800000.0,,14045800000.0,2628900000.0,11416900000.0,,,,8103600000.0,5244100000.0,,,,129600000.0,,,,737100000.0,,,1992800000.0,1406700000.0,586100000.0,,2023-09-30
,1841256154.0,1841256154.0,357000000.0,746000000.0,-11677300000.0,-7162300000.0,-45177200000.0,-11677300000.0,21000000.0,-7887300000.0,-7887300000.0,-7887900000.0,-600000.0,-7887300000.0,125400000.0,-73400200000.0,63361300000.0,1841300000.0,1841300000.0,52949500000.0,173100000.0,41400000.0,112100000.0,41400000.0,19600000.0,19600000.0,0.0,112100000.0,52776400000.0,5389900000.0,726400000.0,1400000.0,725000000.0,135100000.0,41097300000.0,6722400000.0,2028500000.0,6300000.0,209400000.0,4478200000.0,45061600000.0,37462400000.0,3571800000.0,3606700000.0,15979200000.0,2700000.0,2700000.0,3790000000.0,3789400000.0,600000.0,13290300000.0,-113996000000.0,127286300000.0,2772900000.0,119068200000.0,5173100000.0,272100000.0,0.0,7599200000.0,4596600000.0,0.0,6300000.0,1286400000.0,128900000.0,7300000.0,121600000.0,3364600000.0,923300000.0,-1137500000.0,2060800000.0,1889700000.0,1521700000.0,368000000.0,368000000.0,2023-03-31
