Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
9300603819.0,9300603819.0,1199846700000.0,1235162100000.0,854913100000.0,2105937300000.0,-168301300000.0,854913100000.0,675900000.0,871451100000.0,1922120600000.0,871451100000.0,871451100000.0,778445100000.0,,,93006000000.0,93006000000.0,1637454100000.0,1198627300000.0,2242500000.0,,,102985700000.0,1051295200000.0,625700000.0,1050669500000.0,6436600000.0,438826800000.0,32125200000.0,183866900000.0,50200000.0,183816700000.0,,8266500000.0,3837300000.0,,,123700000.0,3713600000.0,2508905200000.0,2238379700000.0,155655800000.0,,,616400000.0,93480100000.0,93480100000.0,20389800000.0,,,16538000000.0,16538000000.0,1943042400000.0,,1943042400000.0,180817300000.0,1762225100000.0,,,,,270525500000.0,5676300000.0,2608600000.0,,,14062900000.0,,,,1322700000.0,115396300000.0,,,131458700000.0,96819200000.0,34639500000.0,,,2024-03-31
9300603819.0,9300603819.0,1151570200000.0,1198920400000.0,852467000000.0,2067349300000.0,-137703400000.0,852467000000.0,424700000.0,868853600000.0,1935310600000.0,868853600000.0,868853600000.0,775847600000.0,,,93006000000.0,93006000000.0,1586170600000.0,1213802400000.0,2790300000.0,,,102748100000.0,1066848100000.0,391100000.0,1066457000000.0,6020000000.0,372368200000.0,27387100000.0,132072300000.0,33600000.0,132038700000.0,,12537400000.0,2920700000.0,,,86800000.0,2833900000.0,2455024200000.0,2220359400000.0,150590800000.0,,,,84044100000.0,84044100000.0,18959900000.0,,,16386600000.0,16386600000.0,1941618500000.0,,1941618500000.0,139221800000.0,1802396700000.0,,,,,234664800000.0,3571800000.0,2608600000.0,,,13610000000.0,,,,1147800000.0,116406700000.0,,,97319900000.0,50394400000.0,46925500000.0,,,2023-09-30
9300603818.0,9300603818.0,1214027300000.0,1266612000000.0,813238300000.0,2096094100000.0,-136374400000.0,813238300000.0,663000000.0,830145100000.0,1969058000000.0,830145100000.0,830145100000.0,760390600000.0,40317000000.0,78344300000.0,69754500000.0,69754500000.0,1672810400000.0,1289752300000.0,62100000.0,69300000.0,2643900000.0,106788700000.0,1139534600000.0,621700000.0,1138912900000.0,5778700000.0,383058100000.0,33261000000.0,127077400000.0,41300000.0,127036100000.0,1418700000.0,10162200000.0,48477500000.0,44372900000.0,299100000.0,527600000.0,3277900000.0,2502955500000.0,2256271800000.0,102344400000.0,10522600000.0,44720700000.0,,18144000000.0,18144000000.0,17146500000.0,17146500000.0,0.0,16906800000.0,16906800000.0,1975186300000.0,-837958300000.0,2813144600000.0,137412400000.0,1837773900000.0,2601044000000.0,42531200000.0,30181200000.0,1975800000.0,246683700000.0,2297400000.0,2608600000.0,299100000.0,2018000000.0,13399500000.0,-70600000.0,269800000.0,13200300000.0,10030800000.0,129613500000.0,-2969300000.0,132582800000.0,86511900000.0,34590200000.0,51921700000.0,33183400000.0,18738300000.0,2023-03-31
