Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.215359,0.0,0.0,4392500000.0,141800000.0,6232000000.0,10697000000.0,16929000000.0,4392500000.0,4392500000.0,,,,,4392500000.0,4392500000.0,4392500000.0,4392500000.0,4392500000.0,1205600000.0,5598100000.0,0.0,0.0,90000000.0,1758600000.0,710600000.0,141800000.0,141800000.0,7423100000.0,7423100000.0,2024-03-31
0.0,0.231342,0.0,0.0,3384400000.0,130500000.0,5928900000.0,10866200000.0,16795100000.0,3384400000.0,3384400000.0,260338462.0,259539877.0,13.0,13.04,3384400000.0,3384400000.0,3384400000.0,3384400000.0,3384400000.0,1018600000.0,4403000000.0,0.0,0.0,17300000.0,1655800000.0,719500000.0,130500000.0,130500000.0,6649800000.0,6649800000.0,2023-12-31
0.0,0.24474,0.0,0.0,3830000000.0,113300000.0,6455600000.0,10573000000.0,17028600000.0,3830000000.0,3830000000.0,260013578.0,259485095.0,14.73,14.76,3830000000.0,3830000000.0,3830000000.0,3830000000.0,3830000000.0,1241100000.0,5071100000.0,0.0,0.0,150600000.0,1676600000.0,708700000.0,113300000.0,113300000.0,7195900000.0,7195900000.0,2023-09-30
0.0,0.222441,,,3473200000.0,126300000.0,6194400000.0,10475000000.0,16669400000.0,3473200000.0,3473200000.0,254820249.0,254633431.0,13.63,13.64,3473200000.0,3473200000.0,3473200000.0,3473200000.0,3473200000.0,993600000.0,4466800000.0,,,91900000.0,1495100000.0,562000000.0,126300000.0,126300000.0,6567500000.0,6567500000.0,2023-06-30
8121693.430657,0.184584,44000000.0,44000000.0,2792800000.0,126300000.0,5919300000.0,9973000000.0,15892300000.0,2756921693.430657,2792800000.0,,,,,2792800000.0,2792800000.0,2792800000.0,2792800000.0,2792800000.0,632200000.0,3425000000.0,44000000.0,-45900000.0,114400000.0,1425100000.0,-726900000.0,126300000.0,126300000.0,5469900000.0,5469900000.0,2023-03-31
,,-522400000.0,-522400000.0,,,,,,,,196732456.0,196588751.0,13.68,13.69,,,,,,,,-522400000.0,522400000.0,,,,,,,,2022-12-31
0.0,0.219008,,,4328100000.0,133500000.0,6421400000.0,10969300000.0,17390700000.0,4328100000.0,4328100000.0,260571945.0,259789916.0,16.61,16.66,4328100000.0,4328100000.0,4328100000.0,4328100000.0,4328100000.0,1213700000.0,5541800000.0,,,88400000.0,1899300000.0,673500000.0,133500000.0,133500000.0,7321500000.0,7321500000.0,2024-06-30 00:00:00
