Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,7889000.0,0.0,0.0,6506000.0,3160000.0,-494000.0,7889000.0,4729000.0,-4399000.0,4399000.0,6506000.0,6506000.0,57053000.0,,,,,6506000.0,6506000.0,0.0,6506000.0,294000.0,6312000.0,0.0,6312000.0,-5982000.0,330000.0,0.0,-4399000.0,4399000.0,4729000.0,57547000.0,18693000.0,3160000.0,3160000.0,27978000.0,27978000.0,62276000.0,-494000.0,61782000.0,61782000.0,2024-03-31
0.0,0.3,10245000.0,0.0,0.0,771000.0,2977000.0,45135000.0,10245000.0,7268000.0,-6559000.0,6559000.0,771000.0,771000.0,93096000.0,77100000.0,77100000.0,0.01,0.01,771000.0,771000.0,0.0,771000.0,1469000.0,-698000.0,0.0,-698000.0,1407000.0,709000.0,0.0,-6559000.0,6559000.0,7268000.0,47961000.0,9648000.0,2977000.0,2977000.0,26808000.0,26808000.0,55229000.0,45135000.0,100364000.0,100364000.0,2023-12-31
0.0,0.3,103228000.0,0.0,0.0,50252000.0,44322000.0,-7492000.0,103228000.0,58906000.0,-18700000.0,18700000.0,50252000.0,50252000.0,120664000.0,106919149.0,106919149.0,0.47,0.47,50252000.0,50252000.0,0.0,50252000.0,703000.0,49549000.0,0.0,49549000.0,-9343000.0,40206000.0,0.0,-18700000.0,18700000.0,58906000.0,128156000.0,47999000.0,44322000.0,44322000.0,28532000.0,28532000.0,187062000.0,-7492000.0,179570000.0,179570000.0,2023-09-30
-3150000.0,0.3,58515000.0,-10500000.0,-10500000.0,15110000.0,20573000.0,-18243000.0,48015000.0,27442000.0,-13085000.0,13085000.0,22460000.0,15110000.0,38760000.0,94437500.0,94437500.0,0.16,0.16,15110000.0,15110000.0,0.0,15110000.0,-2416000.0,17526000.0,0.0,17526000.0,-3169000.0,14357000.0,-10500000.0,-13085000.0,13085000.0,37942000.0,57003000.0,10719000.0,20573000.0,20573000.0,19618000.0,19618000.0,94945000.0,-18243000.0,76702000.0,76702000.0,2023-06-30
0.0,0.3,-63792000.0,,,-248849000.0,259000.0,-5200000.0,-63792000.0,-64051000.0,-4322000.0,4322000.0,-248849000.0,-248849000.0,42915000.0,,,,,-248849000.0,-248849000.0,0.0,-248849000.0,490000.0,-249339000.0,,-249339000.0,180966000.0,-68373000.0,,-4322000.0,4322000.0,-4435000.0,48115000.0,21922000.0,259000.0,259000.0,19555000.0,19555000.0,43680000.0,-5200000.0,38480000.0,38480000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,96220383.0,96220383.0,0.01,0.01,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2022-12-31
0.0,0.3,29148000.0,0.0,0.0,16080000.0,10449000.0,-18927000.0,29148000.0,18699000.0,-4252000.0,4252000.0,16080000.0,16080000.0,36039000.0,105868730.0,105868730.0,0.151886,0.151886,16080000.0,16080000.0,0.0,16080000.0,-813000.0,16893000.0,0.0,16893000.0,-2446000.0,14447000.0,0.0,-4252000.0,4252000.0,18700000.0,54966000.0,17300000.0,10449000.0,10449000.0,20330000.0,20330000.0,73666000.0,-18927000.0,54739000.0,54739000.0,2024-06-30 00:00:00
