Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Pension And Other Postretirement Benefit Plans,Hedging Assets Current,Work In Process
377462604.0,377462604.0,45074000000.0,49831000000.0,-809200000.0,80663800000.0,2279800000.0,-809200000.0,1634100000.0,32466900000.0,70233300000.0,32504200000.0,37300000.0,32466900000.0,32089400000.0,,,377500000.0,377500000.0,80449900000.0,48342200000.0,,8709700000.0,39086900000.0,1320500000.0,37766400000.0,156700000.0,32107700000.0,289800000.0,,10744100000.0,313600000.0,10430500000.0,908100000.0,18021400000.0,,,1200000.0,18020200000.0,112954100000.0,78566600000.0,599700000.0,,4347800000.0,4347800000.0,,,,44800000.0,33276100000.0,21662400000.0,11613700000.0,39931900000.0,,39931900000.0,4330400000.0,35601500000.0,,,,,34387500000.0,2816300000.0,,,9993100000.0,,,6400000.0,17102400000.0,,,4469300000.0,1346400000.0,3122900000.0,,,2024-03-31,,,
377462604.0,377462604.0,9395000000.0,11707200000.0,31154400000.0,41279300000.0,2541000000.0,31154400000.0,1588500000.0,31160600000.0,35716000000.0,31253200000.0,92600000.0,31160600000.0,30783100000.0,,,377500000.0,377500000.0,29312200000.0,8570200000.0,,2684200000.0,5807300000.0,1251900000.0,4555400000.0,38300000.0,20742000000.0,94800000.0,,5899900000.0,336600000.0,5563300000.0,862900000.0,12600300000.0,,,800000.0,12599500000.0,60565400000.0,37282400000.0,551100000.0,,3296900000.0,3296900000.0,,,,44800000.0,6200000.0,,,33351900000.0,,33351900000.0,3593100000.0,29758800000.0,,,,,23283000000.0,2617700000.0,,,6875100000.0,,,9300000.0,12157100000.0,,,1623800000.0,900100000.0,723700000.0,,,2023-09-30,,,
377462604.0,377462604.0,9027800000.0,10294400000.0,28295000000.0,37731700000.0,1605200000.0,28295000000.0,864400000.0,28301700000.0,32374800000.0,28393000000.0,91300000.0,28301700000.0,27924200000.0,19500700000.0,6109500000.0,377500000.0,377500000.0,25935100000.0,7416800000.0,77700000.0,2560600000.0,4740200000.0,667100000.0,4073100000.0,38300000.0,18518300000.0,19100000.0,800000.0,5554200000.0,197300000.0,5356900000.0,822900000.0,12049500000.0,2432800000.0,52700000.0,800000.0,9564000000.0,54328100000.0,34204600000.0,525100000.0,826600000.0,90000000.0,2248400000.0,90000000.0,2248400000.0,2248400000.0,44800000.0,6700000.0,6700000.0,,30925000000.0,-7013500000.0,37938500000.0,11300100000.0,2189100000.0,15879100000.0,2225800000.0,6344400000.0,0.0,20123500000.0,200000.0,52700000.0,2269700000.0,5713900000.0,1030100000.0,4683800000.0,67300000.0,11106500000.0,-12200000.0,11118700000.0,913200000.0,511000000.0,402200000.0,0.0,402200000.0,2023-03-31,,,
