Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Liabilities Heldfor Sale Non Current,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Prepaid Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Treasury Shares Number
49603520.0,49603520.0,1256600000.0,1283697000.0,1516328000.0,2776280000.0,437580000.0,1516328000.0,24120000.0,1516703000.0,2008537000.0,1516703000.0,1516703000.0,1467099000.0,,,49604000.0,49604000.0,3020453000.0,682816000.0,45092000.0,0.0,,113491000.0,512860000.0,21026000.0,491834000.0,11373000.0,2337637000.0,210051000.0,,770837000.0,3094000.0,767743000.0,21774000.0,1333805000.0,,,0.0,1333805000.0,4537156000.0,1761939000.0,,,76428000.0,76428000.0,,,,375000.0,375000.0,1685136000.0,,1685136000.0,132221000.0,1552915000.0,,,,,2775217000.0,339933000.0,,,,1557404000.0,,,,3970000.0,667438000.0,206472000.0,203495000.0,2977000.0,,2024-03-31,
49603520.0,49603520.0,1129729000.0,1158353000.0,1404568000.0,2538003000.0,265073000.0,1404568000.0,25398000.0,1405048000.0,1671758000.0,1405048000.0,1405048000.0,1355444000.0,,,49604000.0,49604000.0,2802466000.0,403852000.0,45273000.0,,,60947000.0,292108000.0,25398000.0,266710000.0,5524000.0,2398614000.0,257482000.0,,866245000.0,,866245000.0,21752000.0,1251965000.0,,,0.0,1251965000.0,4207514000.0,1543827000.0,,,59295000.0,59295000.0,,,,480000.0,480000.0,1484052000.0,,1484052000.0,124704000.0,1359348000.0,,,,,2663687000.0,350873000.0,,,,1620961000.0,,,2440000.0,21825000.0,507456000.0,160132000.0,156906000.0,3226000.0,,2023-09-30,
49603520.0,49603520.0,1214315000.0,1241624000.0,1300788000.0,2516190000.0,203991000.0,1300788000.0,26677000.0,1301243000.0,1596734000.0,1301243000.0,1301243000.0,1251639000.0,822252000.0,46614000.0,49604000.0,49604000.0,2812837000.0,356374000.0,43008000.0,0.0,5524000.0,28682000.0,322168000.0,26677000.0,295491000.0,5524000.0,2456463000.0,195145000.0,744000.0,919456000.0,,919456000.0,19859000.0,1321259000.0,27638000.0,1512000.0,0.0,1292109000.0,4114080000.0,1453627000.0,20767000.0,14000.0,28457000.0,7957000.0,20500000.0,100000.0,100000.0,455000.0,455000.0,1403834000.0,-471527000.0,1875361000.0,168875000.0,1234959000.0,1341819000.0,329165000.0,35502000.0,0.0,2660454000.0,141351000.0,0.0,130585000.0,83374000.0,1594371000.0,968428000.0,625943000.0,155231000.0,20576000.0,534334000.0,632000.0,130585000.0,632000.0,632000.0,2023-03-31,
