Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,317000000.0,317000000.0,1805714000.0,1811982000.0,2361100000.0,4173082000.0,2293585000.0,2361100000.0,2361100000.0,2361100000.0,2361762000.0,662000.0,2361100000.0,2044100000.0,,,317000000.0,317000000.0,5576237000.0,944000.0,-1000.0,,0.0,0.0,945000.0,5575293000.0,14759000.0,,1811982000.0,1811982000.0,,348000.0,3723386000.0,,64980000.0,3658406000.0,7937999000.0,69120000.0,,3131000.0,1373000.0,1373000.0,0.0,0.0,64616000.0,,,,,,,,7868878000.0,4885000.0,,88948000.0,,,,,7628017000.0,147028000.0,140760000.0,6268000.0,,2024-03-31
0.0,317000000.0,317000000.0,1806289000.0,1811225000.0,2374570000.0,4185795000.0,2304774000.0,2374570000.0,2374570000.0,2374570000.0,2375231000.0,661000.0,2374570000.0,2057570000.0,,,317000000.0,317000000.0,5578342000.0,1064000.0,,,0.0,0.0,1064000.0,5577278000.0,14637000.0,,1811225000.0,1811225000.0,,202000.0,3728633000.0,,62529000.0,3666104000.0,7953573000.0,71521000.0,,3210000.0,1373000.0,1373000.0,0.0,0.0,66938000.0,,,,,,,,7882052000.0,5198000.0,,94258000.0,,,,,7636917000.0,145679000.0,140743000.0,4936000.0,,2023-09-30
,317000000.0,317000000.0,1806570000.0,1812449000.0,2386594000.0,4199043000.0,2314112000.0,2386594000.0,2386594000.0,2386594000.0,2387257000.0,663000.0,2386594000.0,-1000.0,908069000.0,1088507000.0,317000000.0,317000000.0,5567462000.0,1072000.0,8000.0,1064000.0,0.0,0.0,1064000.0,5566390000.0,14738000.0,60164000.0,1812449000.0,1812449000.0,202000.0,202000.0,3678837000.0,21325000.0,60164000.0,3657512000.0,7954719000.0,74213000.0,954000.0,3145000.0,1373000.0,1373000.0,0.0,0.0,69695000.0,-135411000.0,205106000.0,2298000.0,49098000.0,82628000.0,71082000.0,0.0,7880502000.0,4910000.0,141248000.0,100168000.0,27335000.0,72833000.0,97000.0,4313000.0,7628797000.0,5879000.0,140749000.0,5879000.0,5879000.0,2023-03-31
