Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Financial Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Inventory,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,32614634.0,32614634.0,2460234659.0,2460285424.0,-2366987428.0,93297996.0,-489833.0,-2366987428.0,-2366987428.0,,93297996.0,-2366987428.0,-2366987428.0,,,1067273170.0,1067273170.0,,2518830956.0,2518290358.0,2504934.0,,0.0,2460285424.0,2460285424.0,540598.0,,,,540598.0,,0.0,540598.0,151843528.0,151792763.0,1502147.0,0.0,0.0,150052000.0,9750.0,9750.0,0.0,0.0,0.0,228866.0,,228866.0,0.0,228866.0,,50765.0,,0.0,,0.0,50765.0,,50765.0,,2024-03-31
,32614634.0,32614634.0,2404634224.0,2404684989.0,-2366731585.0,37953404.0,-2463102599.0,-2366731585.0,-2366731585.0,,-2366731585.0,-2366731585.0,-2366731585.0,,,1067273170.0,1067273170.0,,2518555150.0,55392037.0,55392037.0,,,,,2463163113.0,2404684989.0,2404684989.0,55500000.0,2978124.0,,2441324.0,536800.0,151823565.0,151763050.0,,,,,151530555.0,151530555.0,,,,232495.0,,,,,,60514.0,9749.0,,,,50765.0,,50765.0,,2023-09-30
9042000.0,32614634.0,32614634.0,2404633379.0,2404684989.0,-3270437876.0,-865752887.0,-2407612153.0,-2366237876.0,-3270437876.0,904200000.0,-2366237876.0,-2366237876.0,-2366237876.0,8000000.0,482926830.0,1067273170.0,163073170.0,904200000.0,2517990661.0,110265148.0,55500000.0,54765148.0,0.0,245945013700000.0,245945013700000.0,2407725513.0,2404684989.0,2404684989.0,,3040524.0,2470824.0,0.0,569700.0,151752785.0,151639425.0,1406930.0,0.0,0.0,15005200000000.0,150000000.0,150000000.0,0.0,0.0,0.0,232495.0,-25403.0,257898.0,0.0,23249500000.0,257898.0,113360.0,,0.0,9750.0,0.0,103610.0,52000.0,51610.0,51610.0,2023-03-31
