Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
170988673.0,170988673.0,,486610000.0,4335520000.0,11409900000.0,4761780000.0,4335520000.0,486610000.0,11409900000.0,11409900000.0,11409900000.0,11409900000.0,9700010000.0,1709890000.0,1709890000.0,2777020000.0,1627660000.0,1238850000.0,379760000.0,379760000.0,,9050000.0,1149360000.0,165340000.0,106850000.0,106850000.0,0.0,80800000.0,409020000.0,54430000.0,354590000.0,14186920000.0,8275780000.0,56090000.0,3830000.0,69190000.0,69190000.0,40920000.0,,7074380000.0,1548720000.0,5525660000.0,936040000.0,936040000.0,0.0,936040000.0,5911140000.0,245850000.0,1519000000.0,4146290000.0,3582280000.0,564010000.0,2024-03-31
170254197.0,170254197.0,1004890000.0,1872140000.0,3039500000.0,11236730000.0,3250960000.0,3039500000.0,530530000.0,9895120000.0,9895120000.0,9895120000.0,9895120000.0,8192580000.0,1702540000.0,1702540000.0,4273950000.0,1682900000.0,1225660000.0,446010000.0,446010000.0,,11230000.0,2591050000.0,149020000.0,1426130000.0,84520000.0,1341610000.0,67680000.0,597920000.0,217940000.0,379980000.0,14169070000.0,8327060000.0,12770000.0,15090000.0,73590000.0,73590000.0,55100000.0,55100000.0,6855620000.0,1329960000.0,5525660000.0,975510000.0,975510000.0,18020000.0,957490000.0,5842010000.0,261440000.0,1681140000.0,3899430000.0,3562710000.0,336720000.0,2023-09-30
169228699.0,169228699.0,582860000.0,1598390000.0,2062860000.0,10002910000.0,2423490000.0,2062860000.0,297700000.0,8702220000.0,8702220000.0,8702220000.0,8702220000.0,7009930000.0,1692290000.0,1692290000.0,3810850000.0,1485150000.0,1227720000.0,251530000.0,251530000.0,0.0,5900000.0,2325700000.0,144470000.0,1346860000.0,46170000.0,1300690000.0,56950000.0,415430000.0,153940000.0,261490000.0,12513070000.0,7763880000.0,7240000.0,8810000.0,52630000.0,52630000.0,65000000.0,65000000.0,6639360000.0,1205050000.0,5434310000.0,671590000.0,671590000.0,210000.0,671380000.0,4749190000.0,178270000.0,1265450000.0,3305470000.0,2587640000.0,717830000.0,2023-03-31
