Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.210737,506300000.0,0.0,0.0,374900000.0,25700000.0,1214900000.0,506300000.0,480600000.0,-5600000.0,5600000.0,374900000.0,374900000.0,1795800000.0,,,,,374900000.0,374900000.0,0.0,374900000.0,374900000.0,374900000.0,100100000.0,475000000.0,82300000.0,0.0,-5600000.0,5600000.0,398400000.0,580900000.0,25700000.0,25700000.0,286200000.0,125900000.0,160300000.0,979300000.0,1214900000.0,2194200000.0,2194200000.0,2024-03-31
0.0,0.250169,481100000.0,0.0,0.0,332400000.0,26300000.0,1135000000.0,481100000.0,454800000.0,-11500000.0,11500000.0,332400000.0,332400000.0,1639800000.0,61669759.0,61669759.0,5.39,5.39,332400000.0,332400000.0,0.0,332400000.0,332400000.0,332400000.0,110900000.0,443300000.0,92600000.0,0.0,-11500000.0,11500000.0,362200000.0,504800000.0,26300000.0,26300000.0,214600000.0,112700000.0,101900000.0,867000000.0,1135000000.0,2002000000.0,2002000000.0,2023-12-31
0.0,0.248979,699600000.0,0.0,0.0,496600000.0,27000000.0,1505200000.0,699600000.0,672600000.0,-11500000.0,11500000.0,496600000.0,496600000.0,2034500000.0,61612903.0,61612903.0,8.06,8.06,496600000.0,496600000.0,0.0,496600000.0,496500000.0,496500000.0,164600000.0,661100000.0,82600000.0,0.0,-11500000.0,11500000.0,590300000.0,529300000.0,27000000.0,27000000.0,241600000.0,122300000.0,119300000.0,1119600000.0,1505200000.0,2624800000.0,2624800000.0,2023-09-30
0.0,0.184019,452700000.0,0.0,0.0,337000000.0,24700000.0,1016400000.0,452700000.0,428000000.0,-15000000.0,15000000.0,337000000.0,337000000.0,1467400000.0,61608775.0,61608775.0,5.47,5.47,337000000.0,337000000.0,0.0,337000000.0,337000000.0,337000000.0,76000000.0,413000000.0,111500000.0,0.0,-15000000.0,15000000.0,316600000.0,451000000.0,24700000.0,24700000.0,166700000.0,76600000.0,90100000.0,767600000.0,1016400000.0,1784000000.0,1784000000.0,2023-06-30
39293151.557036,0.255956,299630000.0,153515000.0,153515000.0,314909000.0,23607000.0,1103176000.0,453145000.0,429538000.0,3152000.0,6298000.0,200687151.557036,314909000.0,1565504000.0,,,,,314909000.0,314909000.0,0.0,314909000.0,314909000.0,314909000.0,108331000.0,423240000.0,-116300000.0,-8847000.0,3152000.0,6298000.0,377200000.0,462328000.0,23607000.0,22824000.0,117000000.0,163204000.0,-46204000.0,839528000.0,1103176000.0,1942704000.0,1942704000.0,2023-03-31
,,,,,,,,,,,,,,,61697248.0,61697248.0,4.36,4.36,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.275158,383500000.0,0.0,0.0,252100000.0,28400000.0,825600000.0,383500000.0,355100000.0,-7300000.0,7300000.0,252100000.0,252100000.0,1265200000.0,61638142.0,61638142.0,4.09,4.09,252100000.0,252100000.0,0.0,252100000.0,252100000.0,252100000.0,95700000.0,347800000.0,108000000.0,0.0,-7300000.0,7300000.0,247300000.0,439600000.0,28400000.0,28400000.0,159800000.0,60600000.0,99200000.0,686900000.0,825600000.0,1512500000.0,1512500000.0,2024-06-30 00:00:00
