Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,1632520000.0,1830010000.0,20566260000.0,22319410000.0,10135650000.0,20566260000.0,143830000.0,20633230000.0,20633230000.0,20633230000.0,20633230000.0,19307730000.0,,,1325500000.0,1325500000.0,3374210000.0,483340000.0,,363970000.0,119370000.0,119370000.0,0.0,2890870000.0,28800000.0,1710640000.0,24460000.0,1686180000.0,,,1035350000.0,,,1035350000.0,24007440000.0,10980920000.0,28450000.0,,95050000.0,95050000.0,66970000.0,66970000.0,10790450000.0,,10790450000.0,2261380000.0,8529070000.0,,,,,13026520000.0,1343180000.0,,3434710000.0,,,,,11150000.0,2328760000.0,,,5908720000.0,5855060000.0,53660000.0,,2024-03-31
132523541.0,132523541.0,,170510000.0,20435900000.0,20475760000.0,7246530000.0,20435900000.0,150510000.0,20455760000.0,20455760000.0,20455760000.0,20455760000.0,19130520000.0,,,1325240000.0,1325240000.0,1810370000.0,425340000.0,-10000.0,287570000.0,137780000.0,137780000.0,0.0,1385030000.0,17030000.0,32730000.0,12730000.0,20000000.0,,4150000.0,1184160000.0,,27640000.0,1156520000.0,22266130000.0,13634580000.0,174010000.0,,5039490000.0,5039490000.0,19860000.0,19860000.0,8401220000.0,,8401220000.0,965440000.0,7435780000.0,,,,,8631560000.0,692560000.0,,3251630000.0,,,,,21410000.0,2524530000.0,,,2141430000.0,1651530000.0,489900000.0,,2023-09-30
124510721.0,124510721.0,,157150000.0,12440220000.0,12447130000.0,5811730000.0,12440220000.0,156080000.0,12446060000.0,12446060000.0,12446060000.0,12446060000.0,15550000.0,3022850000.0,8162550000.0,1245110000.0,1245110000.0,1353100000.0,413080000.0,,267760000.0,145320000.0,145320000.0,0.0,940020000.0,-10000.0,11830000.0,10760000.0,1070000.0,0.0,,866900000.0,51720000.0,0.0,815180000.0,13799160000.0,7047410000.0,184710000.0,211710000.0,2110000.0,2110000.0,5840000.0,5840000.0,6827750000.0,-697040000.0,7524790000.0,371660000.0,611650000.0,4673010000.0,882470000.0,986000000.0,0.0,6751750000.0,9680000.0,617040000.0,2487660000.0,234500000.0,536190000.0,1062810000.0,654160000.0,11740000.0,2589820000.0,0.0,2589820000.0,1035810000.0,326730000.0,709080000.0,709080000.0,2023-03-31
