Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
0.0,49659220.0,49659220.0,112540000.0,119920000.0,5025190000.0,5145750000.0,2690010000.0,5025190000.0,5160000.0,5030990000.0,5030990000.0,5030990000.0,5030990000.0,4791360000.0,,,239630000.0,239630000.0,1661220000.0,117020000.0,,,111920000.0,5100000.0,5100000.0,0.0,,1544200000.0,124630000.0,,114820000.0,60000.0,114760000.0,,39670000.0,1166190000.0,77080000.0,,3930000.0,1085180000.0,6692210000.0,2458000000.0,31150000.0,,71500000.0,71500000.0,,0.0,0.0,5800000.0,,2349550000.0,,2349550000.0,119390000.0,2230160000.0,,,,,4234210000.0,139840000.0,,,1105280000.0,,,,,,810000.0,1994410000.0,,,993870000.0,991650000.0,2220000.0,,2024-03-31
,49659220.0,49659220.0,774530000.0,783620000.0,4919830000.0,5709440000.0,2715650000.0,4919830000.0,5150000.0,4930970000.0,5326880000.0,4930970000.0,4930970000.0,4691350000.0,2259780000.0,1689760000.0,239630000.0,239630000.0,2410760000.0,514340000.0,10000.0,9740000.0,103590000.0,401000000.0,5090000.0,395910000.0,9740000.0,1896420000.0,10000.0,2380000.0,382620000.0,60000.0,382560000.0,9580000.0,15200000.0,1442280000.0,173230000.0,0.0,2380000.0,1269050000.0,7341730000.0,2729660000.0,-10000.0,90600000.0,740000.0,359060000.0,740000.0,0.0,0.0,11140000.0,11140000.0,2313520000.0,-1453760000.0,3767280000.0,910000.0,596560000.0,1959550000.0,966990000.0,243270000.0,0.0,4612070000.0,1170000.0,992700000.0,78240000.0,1234270000.0,26670000.0,196880000.0,226160000.0,784560000.0,26930000.0,36010000.0,1974110000.0,-2110000.0,1976220000.0,268640000.0,264700000.0,3940000.0,3940000.0,2023-03-31
