Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Pension And Other Postretirement Benefit Plans,Held To Maturity Securities
42200.0,275895221.0,275937421.0,931770000.0,25390080000.0,30441250000.0,20216140000.0,25390080000.0,931770000.0,30441250000.0,30441250000.0,30441250000.0,30441250000.0,29889380000.0,,,551870000.0,551870000.0,8815240000.0,1357220000.0,577630000.0,577630000.0,712310000.0,7458020000.0,1377030000.0,354140000.0,354140000.0,,631210000.0,3046400000.0,,,241110000.0,2805290000.0,39256490000.0,11582330000.0,189760000.0,,,1044000000.0,3022720000.0,3022720000.0,5051170000.0,94340000.0,4956830000.0,2035570000.0,,2035570000.0,116430000.0,1919140000.0,,,,,27674160000.0,2694500000.0,,,,,,10365220000.0,,,14614440000.0,10688740000.0,3925700000.0,,,2024-03-31,,
108600.0,275446381.0,275554981.0,856940000.0,22220910000.0,27247640000.0,18929820000.0,22220910000.0,856940000.0,27247640000.0,27247640000.0,27247640000.0,27247640000.0,26696530000.0,,,551110000.0,551110000.0,8252650000.0,1079720000.0,511230000.0,511230000.0,568490000.0,7172930000.0,1001820000.0,345710000.0,345710000.0,,673960000.0,3442060000.0,,,350670000.0,3091390000.0,35500290000.0,9397540000.0,107620000.0,,,1165570000.0,558880000.0,558880000.0,5026730000.0,110380000.0,4916350000.0,2090860000.0,,2090860000.0,98350000.0,1992510000.0,,,,,26102750000.0,2454300000.0,,,,,,9434390000.0,,,14214060000.0,10078940000.0,4135120000.0,,,2023-09-30,,
211600.0,274658947.0,274870547.0,1018310000.0,19449180000.0,24482930000.0,15457510000.0,19449180000.0,1018310000.0,24482930000.0,24482930000.0,24482930000.0,24482930000.0,397650000.0,19910470000.0,869280000.0,549740000.0,549740000.0,7389750000.0,1149540000.0,662120000.0,662120000.0,487420000.0,6240210000.0,774810000.0,356190000.0,356190000.0,1286210000.0,638950000.0,2652110000.0,2680000.0,10400000.0,326230000.0,2312800000.0,31872680000.0,10174960000.0,73920000.0,167420000.0,65170000.0,1170780000.0,852370000.0,852370000.0,5033750000.0,137930000.0,4895820000.0,2390220000.0,-4188720000.0,6578940000.0,64950000.0,2325270000.0,3150720000.0,3316970000.0,46300000.0,0.0,21697720000.0,20970000.0,0.0,102260000.0,21480000.0,1071500000.0,2758600000.0,7316120000.0,-1558400000.0,8874520000.0,10406790000.0,5738270000.0,4668520000.0,1481730000.0,3186790000.0,2023-03-31,,
