Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Other Non Current Liabilities,Pensionand Other Post Retirement Benefit Plans Current,Dividends Payable
14130000.0,14130000.0,758691000.0,799334000.0,465570000.0,1266267000.0,-94505000.0,465570000.0,466933000.0,783860000.0,466933000.0,466933000.0,,100061000.0,225572000.0,141300000.0,141300000.0,1513102000.0,340890000.0,,,,,7891000.0,316927000.0,316927000.0,16060000.0,1172212000.0,3162000.0,482407000.0,482407000.0,1821000.0,536198000.0,,,536198000.0,1980035000.0,902328000.0,26615000.0,,,1721000.0,1721000.0,,1363000.0,1363000.0,872629000.0,,872629000.0,87788000.0,784841000.0,,,,,1077707000.0,52199000.0,,,559704000.0,,,,,,460000.0,343923000.0,,,121421000.0,80778000.0,40643000.0,,2024-03-31,,,
14130000.0,14130000.0,770919000.0,772687000.0,407534000.0,1181739000.0,2115000.0,407534000.0,409052000.0,749712000.0,409052000.0,409052000.0,267752000.0,,,141300000.0,141300000.0,1495017000.0,399170000.0,,,,,3987000.0,340660000.0,340660000.0,6316000.0,1095847000.0,7307000.0,432027000.0,432027000.0,9715000.0,589377000.0,,1302000.0,588075000.0,1904069000.0,806107000.0,14124000.0,,,1569000.0,1569000.0,,1518000.0,1518000.0,788896000.0,,788896000.0,67219000.0,721677000.0,,,,,1097962000.0,45791000.0,,,624480000.0,,,,,,,358564000.0,,,69127000.0,67359000.0,1768000.0,,2023-09-30,,,
14130000.0,14130000.0,726634000.0,729525000.0,349450000.0,1080647000.0,6214000.0,349450000.0,351122000.0,664628000.0,351122000.0,351122000.0,,-15750000.0,225572000.0,141300000.0,141300000.0,1466537000.0,472987000.0,107100000.0,6674000.0,42840000.0,12000.0,2855000.0,313506000.0,313506000.0,6674000.0,993550000.0,5478000.0,416019000.0,416019000.0,6543000.0,543597000.0,23197000.0,,520400000.0,1817659000.0,817895000.0,14836000.0,10253000.0,0.0,25000.0,25000.0,0.0,1672000.0,1672000.0,799819000.0,-738930000.0,1538749000.0,109629000.0,330541000.0,757063000.0,326351000.0,15165000.0,0.0,999764000.0,396000.0,0.0,30086000.0,631256000.0,35828000.0,67526000.0,383589000.0,144313000.0,9705000.0,46780000.0,220749000.0,-9317000.0,230066000.0,60792000.0,57901000.0,2891000.0,2891000.0,2023-03-31,,,
