Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
140662848.0,140662848.0,2351560000.0,7653400000.0,44783060000.0,57172230000.0,15525080000.0,44783060000.0,255580000.0,49774410000.0,54576940000.0,49774410000.0,49774410000.0,48367780000.0,,,1406630000.0,1406630000.0,29082530000.0,6708280000.0,,,,144280000.0,4967420000.0,164890000.0,4802530000.0,601780000.0,22374250000.0,1204940000.0,,2685980000.0,90690000.0,2595290000.0,244530000.0,16120420000.0,,,75760000.0,16044660000.0,78856940000.0,40957610000.0,1874840000.0,,782670000.0,,405040000.0,405040000.0,,4991350000.0,1068350000.0,3923000000.0,32903710000.0,,32903710000.0,1567170000.0,31336540000.0,,,,,37899330000.0,1095290000.0,,105730000.0,,,8722120000.0,,,,,19950000.0,899160000.0,12623800000.0,,,14433280000.0,9387020000.0,5046260000.0,,,2024-03-31,
140662848.0,140662848.0,2802600000.0,6929350000.0,40926650000.0,52545570000.0,14726180000.0,40926650000.0,297070000.0,45913290000.0,50340930000.0,45913290000.0,45913290000.0,44506660000.0,,,1406630000.0,1406630000.0,28461670000.0,6256060000.0,,,,5460000.0,4600990000.0,173350000.0,4427640000.0,696540000.0,22205610000.0,1382130000.0,,2328360000.0,123720000.0,2204640000.0,378790000.0,16280280000.0,,,410190000.0,15870090000.0,74374960000.0,37443170000.0,1046930000.0,,809230000.0,,483560000.0,483560000.0,,4986640000.0,1119530000.0,3867110000.0,30116810000.0,,30116810000.0,3181060000.0,26935750000.0,,,,,36931790000.0,1134000000.0,,105540000.0,,,9165410000.0,,,,,18450000.0,513600000.0,12983960000.0,,,13010830000.0,9181150000.0,3829680000.0,,,2023-09-30,
140662848.0,140662848.0,1956640000.0,5147640000.0,39014160000.0,48954540000.0,12611460000.0,39014160000.0,314390000.0,44121290000.0,46902750000.0,44121290000.0,44121290000.0,42714660000.0,38665280000.0,160400000.0,1406630000.0,1406630000.0,23903240000.0,4595930000.0,858680000.0,23930000.0,0.0,5220000.0,2968740000.0,187280000.0,2781460000.0,645290000.0,19307310000.0,1062220000.0,157550000.0,2178900000.0,127110000.0,2051790000.0,327350000.0,15126150000.0,868410000.0,360000.0,157550000.0,14257380000.0,68024530000.0,36105760000.0,-10000.0,1884350000.0,719790000.0,32210000.0,328800000.0,328750000.0,50000.0,5107130000.0,1206950000.0,3900180000.0,28030410000.0,-25469030000.0,53499440000.0,1683600000.0,305690000.0,39740010000.0,8638930000.0,3131210000.0,0.0,31918770000.0,5260000.0,21900000.0,,480000.0,1594600000.0,8205830000.0,61840000.0,2559250000.0,2778030000.0,2806710000.0,1074820000.0,782060000.0,11620290000.0,-91770000.0,11712060000.0,9395590000.0,6518980000.0,2876610000.0,30000000.0,2846610000.0,2023-03-31,
