Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Insurance And Claims,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Other Finance Cost
0.0,0.221411,1485000000.0,,,959000000.0,,3220000000.0,1485000000.0,1485000000.0,,,,959000000.0,959000000.0,3633000000.0,,917000000.0,4145052370.0,4139432133.0,0.23,0.23,959000000.0,959000000.0,959000000.0,,960000000.0,960000000.0,273000000.0,1233000000.0,-130000000.0,-172000000.0,,,,,,,932000000.0,413000000.0,,,253000000.0,-465000000.0,718000000.0,-292000000.0,,,,1345000000.0,3220000000.0,4565000000.0,4565000000.0,2024-03-31,
0.0,0.290821,956000000.0,,,733000000.0,,3274000000.0,956000000.0,956000000.0,,,,733000000.0,733000000.0,3707000000.0,,956000000.0,4072222222.0,4072222222.0,0.18,0.18,733000000.0,733000000.0,733000000.0,,734000000.0,734000000.0,301000000.0,1035000000.0,79000000.0,79000000.0,,,,,,,956000000.0,433000000.0,,,433000000.0,204000000.0,229000000.0,229000000.0,,,,1389000000.0,3274000000.0,4663000000.0,4663000000.0,2023-12-31,
-583018.867925,0.291509,1079000000.0,-2000000.0,-2000000.0,751000000.0,,3271000000.0,1077000000.0,1077000000.0,42000000.0,17000000.0,59000000.0,752416981.132075,751000000.0,3704000000.0,3000000.0,1000000000.0,4142819712.0,4138636582.0,0.18,0.18,751000000.0,751000000.0,751000000.0,0.0,751000000.0,751000000.0,309000000.0,1060000000.0,4000000.0,6000000.0,-14000000.0,14000000.0,12000000.0,42000000.0,17000000.0,59000000.0,1014000000.0,433000000.0,30000000.0,8000000.0,395000000.0,39000000.0,356000000.0,96000000.0,7000000.0,2000000.0,251000000.0,1447000000.0,3271000000.0,4718000000.0,4718000000.0,2023-09-30,
-3176817.288802,0.288802,983000000.0,-11000000.0,-11000000.0,724000000.0,,3211000000.0,972000000.0,972000000.0,,,,731823182.711198,724000000.0,3645000000.0,2000000.0,961000000.0,4258823529.0,4258823529.0,0.17,0.17,724000000.0,724000000.0,724000000.0,,724000000.0,724000000.0,294000000.0,1018000000.0,46000000.0,57000000.0,-11000000.0,11000000.0,,,,,972000000.0,434000000.0,30000000.0,11000000.0,393000000.0,45000000.0,348000000.0,92000000.0,6000000.0,1000000.0,249000000.0,1406000000.0,3211000000.0,4617000000.0,4617000000.0,2023-06-30,
825875.486381,0.275292,1171000000.0,3000000.0,3000000.0,744000000.0,136000000.0,3165000000.0,1174000000.0,1038000000.0,42000000.0,10000000.0,52000000.0,741825875.486381,744000000.0,3587000000.0,3000000.0,957000000.0,4149555426.0,4144013195.0,0.18,0.18,744000000.0,744000000.0,744000000.0,-1000000.0,745000000.0,745000000.0,283000000.0,1028000000.0,19000000.0,16000000.0,-10000000.0,10000000.0,13000000.0,42000000.0,10000000.0,52000000.0,968000000.0,422000000.0,31000000.0,9000000.0,382000000.0,44000000.0,338000000.0,103000000.0,5000000.0,2000000.0,228000000.0,1390000000.0,3165000000.0,4555000000.0,4555000000.0,2023-03-31,
,,,16000000.0,16000000.0,,137000000.0,,,,45000000.0,10000000.0,55000000.0,,,,3000000.0,,,,,,,,,0.0,,,,,,,-13000000.0,13000000.0,29000000.0,45000000.0,10000000.0,55000000.0,,,30000000.0,9000000.0,,,,,5000000.0,2000000.0,230000000.0,,,,,2022-12-31,
0.0,0.2939,994000000.0,,,763000000.0,,3259000000.0,994000000.0,994000000.0,,,,763000000.0,763000000.0,3720000000.0,,994000000.0,4238888889.0,4238888889.0,0.18,0.18,763000000.0,763000000.0,763000000.0,,763000000.0,763000000.0,318000000.0,1082000000.0,88000000.0,88000000.0,,,,,,,994000000.0,461000000.0,,,461000000.0,232000000.0,229000000.0,229000000.0,,,,1455000000.0,3259000000.0,4714000000.0,4714000000.0,2024-06-30 00:00:00,
0.0,0.295928,1033000000.0,,,777000000.0,,3400000000.0,1033000000.0,1033000000.0,72000000.0,,,777000000.0,777000000.0,3861000000.0,,1033000000.0,4089473684.0,4089473684.0,0.19,0.19,777000000.0,777000000.0,777000000.0,,778000000.0,778000000.0,327000000.0,1105000000.0,,,,,,72000000.0,,,1033000000.0,461000000.0,,,461000000.0,221000000.0,240000000.0,240000000.0,,,,1494000000.0,3400000000.0,4894000000.0,4894000000.0,2024-09-30 00:00:00,-72000000.0
