Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
18677749.0,18677749.0,17000000.0,207500000.0,207700000.0,-112600000.0,207500000.0,17000000.0,207700000.0,207700000.0,207700000.0,207700000.0,20900000.0,,,186800000.0,186800000.0,925500000.0,305300000.0,,,12400000.0,12400000.0,,46200000.0,620200000.0,14800000.0,,4600000.0,4600000.0,0.0,,5700000.0,36300000.0,,,0.0,36300000.0,1133200000.0,625600000.0,74200000.0,,,5000000.0,164300000.0,164300000.0,,,200000.0,,340800000.0,,340800000.0,340800000.0,,,,,507600000.0,20400000.0,0.0,,,,92000000.0,,,,1400000.0,1700000.0,159800000.0,,,232300000.0,151500000.0,80800000.0,,,2024-03-31
18677749.0,18677749.0,2600000.0,139300000.0,139700000.0,-119600000.0,139300000.0,2600000.0,139700000.0,139700000.0,139700000.0,139700000.0,-47100000.0,,,186800000.0,186800000.0,977300000.0,340400000.0,,,500000.0,500000.0,,49400000.0,636900000.0,31000000.0,,2100000.0,2100000.0,,,9600000.0,35200000.0,,,3000000.0,32200000.0,1117000000.0,599700000.0,76200000.0,,,4800000.0,152800000.0,152800000.0,,,400000.0,,324500000.0,,324500000.0,324500000.0,,,,,517300000.0,23800000.0,20500000.0,,,,101700000.0,,,,1200000.0,,152600000.0,,,217500000.0,147700000.0,69800000.0,,,2023-09-30
18677749.0,18677749.0,5957000.0,149045000.0,149813000.0,-185137000.0,149045000.0,5692000.0,149548000.0,149548000.0,149548000.0,149548000.0,-37200000.0,-158898000.0,119129000.0,186777000.0,186777000.0,990253000.0,349498000.0,66629000.0,281562000.0,1234000.0,1234000.0,0.0,66600000.0,640755000.0,500000000.0,3627000.0,4723000.0,4458000.0,265000.0,9641000.0,9600000.0,121019000.0,85730000.0,0.0,3600000.0,35289000.0,1139801000.0,684183000.0,74800000.0,94090000.0,24000.0,5331000.0,74000000.0,74000000.0,121565000.0,121565000.0,503000.0,503000.0,348187000.0,-845246000.0,1193433000.0,21572000.0,1005585000.0,133244000.0,33032000.0,0.0,455618000.0,12350000.0,20505000.0,90000.0,0.0,23256000.0,117436000.0,17583000.0,2219000.0,97634000.0,41244000.0,,120050000.0,0.0,120050000.0,120687000.0,40521000.0,80166000.0,31500000.0,48666000.0,2023-03-31
