Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,978816000.0,978816000.0,2970734000.0,2982512000.0,2525417000.0,5498860000.0,3285347000.0,2525417000.0,9212000.0,2525560000.0,,3443903000.0,2528033000.0,2473000.0,2525560000.0,1546744000.0,,,978816000.0,978816000.0,,5382136000.0,929056000.0,,1501000.0,0.0,927555000.0,9212000.0,918343000.0,,4453080000.0,38076000.0,,2054957000.0,2054957000.0,,200000.0,1550870000.0,,,30669000.0,1520201000.0,7910169000.0,171742000.0,7625000.0,6592000.0,6592000.0,143000.0,,155647000.0,,155647000.0,155647000.0,,,,,7738427000.0,2182963000.0,,,3585126000.0,,,,47354000.0,,1875018000.0,47966000.0,45400000.0,2566000.0,2566000.0,2024-03-31
,978816000.0,978816000.0,2882205000.0,2901874000.0,2436117000.0,5328949000.0,3201216000.0,2436117000.0,9240000.0,2436315000.0,,3368701000.0,2438698000.0,2383000.0,2436315000.0,1457499000.0,,,978816000.0,978816000.0,,4709637000.0,942134000.0,-1000.0,,0.0,941626000.0,9240000.0,932386000.0,509000.0,3767503000.0,46114000.0,,1960248000.0,1960248000.0,,818000.0,984606000.0,,,49484000.0,935122000.0,7148335000.0,179617000.0,10895000.0,11414000.0,11414000.0,198000.0,,155382000.0,,155382000.0,155382000.0,,,,,6968719000.0,1857378000.0,,,2727212000.0,,,,83787000.0,0.0,2277524000.0,22818000.0,12389000.0,10429000.0,,2023-09-30
220000.0,869016000.0,869016000.0,2922449000.0,2933115000.0,1915902000.0,4840390000.0,2405790000.0,2135902000.0,8825000.0,1916100000.0,220000000.0,2578496000.0,2138420000.0,2320000.0,2136100000.0,74298000.0,788015000.0,748042000.0,509672000.0,289672000.0,220000000.0,3465983000.0,452048000.0,202000.0,827000.0,0.0,451221000.0,8825000.0,442396000.0,827000.0,3013935000.0,24850000.0,25049000.0,2481894000.0,2481894000.0,57000.0,57000.0,313828000.0,9648000.0,10098000.0,0.0,294082000.0,5604403000.0,184677000.0,9547000.0,12242000.0,12242000.0,198000.0,198000.0,160243000.0,-227912000.0,388155000.0,1357000.0,187776000.0,107787000.0,91235000.0,0.0,5419725000.0,37579000.0,4151000.0,823385000.0,2734858000.0,1000.0,2713504000.0,21353000.0,20107000.0,35458000.0,1761684000.0,2503000.0,662000.0,1841000.0,1841000.0,2023-03-31
