Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
1299214976.0,1299214976.0,49521750000.0,54313100000.0,63651680000.0,121308850000.0,824180000.0,63651680000.0,2369230000.0,69364980000.0,101254360000.0,70846530000.0,1481550000.0,69364980000.0,88480000.0,45663500000.0,22636590000.0,6496070000.0,6496070000.0,81025300000.0,39493180000.0,,2126440000.0,68400000.0,3430110000.0,33868230000.0,1978850000.0,31889380000.0,,41532120000.0,,390020000.0,20444870000.0,390380000.0,20054490000.0,825430000.0,,15886740000.0,8303290000.0,970000.0,,7582480000.0,151871830000.0,109515530000.0,,751510000.0,,66060000.0,34550000.0,31510000.0,179320000.0,127000000.0,52320000.0,,5713300000.0,5471000000.0,242300000.0,102794850000.0,-39273840000.0,142068690000.0,24416460000.0,6247270000.0,73502740000.0,19583930000.0,18318290000.0,0.0,42356300000.0,,2176500000.0,5549770000.0,21505330000.0,4160220000.0,4398230000.0,12946880000.0,7108730000.0,,3593850000.0,-586230000.0,4180080000.0,2422120000.0,,2422120000.0,613350000.0,1808770000.0,2023-12-31,
1299136476.0,1299136476.0,32772930000.0,37264120000.0,59154860000.0,99724040000.0,-4069480000.0,59154860000.0,2425570000.0,64885490000.0,82757270000.0,66226230000.0,1340740000.0,64885490000.0,58389810000.0,,,6495680000.0,6495680000.0,67959980000.0,25320020000.0,5550000.0,,,3401330000.0,19904530000.0,2032750000.0,17871780000.0,2008610000.0,42639960000.0,7166480000.0,,17359590000.0,392820000.0,16966770000.0,,301350000.0,13395920000.0,,,2373700000.0,11022220000.0,134186210000.0,95615730000.0,3883570000.0,,,611340000.0,611340000.0,,51440000.0,,,20080000.0,5730630000.0,5488330000.0,242300000.0,85318670000.0,,85318670000.0,5312380000.0,80006290000.0,,,,,38570480000.0,3044070000.0,,,20907240000.0,,,,10000000.0,2950000.0,6035760000.0,,,8570460000.0,6504840000.0,2065620000.0,,,2023-06-30,
1299099240.0,1299099240.0,35404800000.0,38838140000.0,45272400000.0,87971920000.0,-5647240000.0,45272400000.0,1890020000.0,51023800000.0,68294020000.0,52154870000.0,1131070000.0,51023800000.0,29060000.0,27398840000.0,22569560000.0,6495500000.0,6495500000.0,64027560000.0,24340020000.0,5940000.0,2041130000.0,5940000.0,3368480000.0,18924470000.0,1654250000.0,17270220000.0,2041130000.0,39687540000.0,4889770000.0,755680000.0,19913670000.0,235770000.0,19677900000.0,291910000.0,291910000.0,14403180000.0,6159740000.0,830000.0,755680000.0,8242610000.0,116182430000.0,82142130000.0,6266770000.0,632310000.0,0.0,10000.0,486810000.0,10000.0,40000.0,60000.0,-20000.0,,5751400000.0,5509100000.0,242300000.0,75749100000.0,-34048850000.0,109797950000.0,12178310000.0,5742190000.0,59215340000.0,15867630000.0,16794480000.0,0.0,34040300000.0,4278340000.0,1309350000.0,4478970000.0,19938850000.0,4313410000.0,3454200000.0,12171240000.0,3776430000.0,0.0,2993380000.0,-538870000.0,3532250000.0,1543320000.0,5286410000.0,1543320000.0,539520000.0,1003800000.0,2022-12-31,
1299448412.0,1299448412.0,60763880000.0,67609160000.0,72207440000.0,148663150000.0,-4179790000.0,72207440000.0,4723670000.0,85777660000.0,121189990000.0,87459160000.0,1681500000.0,85777660000.0,79280460000.0,,,6497200000.0,6497200000.0,106342410000.0,45459520000.0,65920000.0,,,3849830000.0,39297800000.0,3885470000.0,35412330000.0,2245970000.0,60882890000.0,7622930000.0,,28311360000.0,838200000.0,27473160000.0,,952280000.0,17267120000.0,,,3180580000.0,14086540000.0,193801570000.0,137098470000.0,3436060000.0,,,926550000.0,926550000.0,,392270000.0,,,,13570220000.0,6638980000.0,6931240000.0,118552730000.0,,118552730000.0,9420850000.0,109131880000.0,,,,,56703100000.0,5159240000.0,,,27960180000.0,,,,,55500000.0,10254840000.0,,,13273340000.0,11151730000.0,2121610000.0,,,2024-06-30 00:00:00,0.0
