Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.219048,680000000.0,,,-820000000.0,850000000.0,5720000000.0,680000000.0,-170000000.0,-880000000.0,880000000.0,-820000000.0,-810000000.0,11720000000.0,,,,,-810000000.0,-810000000.0,0.0,-810000000.0,0.0,-810000000.0,10000000.0,-820000000.0,-230000000.0,-1050000000.0,150000000.0,,-880000000.0,880000000.0,-320000000.0,6000000000.0,3110000000.0,850000000.0,850000000.0,5680000000.0,5720000000.0,11400000000.0,11400000000.0,2024-03-31
0.0,0.25,1100000000.0,,,-490000000.0,840000000.0,6450000000.0,1100000000.0,260000000.0,-940000000.0,940000000.0,-490000000.0,-570000000.0,13160000000.0,398601399.0,398601399.0,-1.43,-1.43,-570000000.0,-570000000.0,0.0,-570000000.0,20000000.0,-590000000.0,-80000000.0,-510000000.0,-170000000.0,-680000000.0,190000000.0,,-940000000.0,940000000.0,60000000.0,6710000000.0,3340000000.0,840000000.0,840000000.0,6770000000.0,6450000000.0,13220000000.0,13220000000.0,2023-12-31
0.0,0.315789,2180000000.0,,,280000000.0,850000000.0,6690000000.0,2180000000.0,1330000000.0,-950000000.0,950000000.0,280000000.0,340000000.0,13660000000.0,395348837.0,395348837.0,0.86,0.86,340000000.0,340000000.0,0.0,340000000.0,20000000.0,320000000.0,60000000.0,260000000.0,120000000.0,380000000.0,30000000.0,,-950000000.0,950000000.0,1280000000.0,6970000000.0,3690000000.0,850000000.0,850000000.0,8250000000.0,6690000000.0,14940000000.0,14940000000.0,2023-09-30
0.0,0.301587,2360000000.0,,,460000000.0,810000000.0,6020000000.0,2360000000.0,1550000000.0,-920000000.0,920000000.0,460000000.0,540000000.0,13890000000.0,402985075.0,400000000.0,1.34,1.35,540000000.0,540000000.0,0.0,540000000.0,20000000.0,520000000.0,80000000.0,440000000.0,190000000.0,630000000.0,210000000.0,,-920000000.0,920000000.0,1330000000.0,7870000000.0,4530000000.0,810000000.0,810000000.0,9200000000.0,6020000000.0,15220000000.0,15220000000.0,2023-06-30
-14912280.701754,0.298246,2210000000.0,-50000000.0,-50000000.0,830000000.0,780000000.0,11520000000.0,2160000000.0,1380000000.0,-890000000.0,240000000.0,865087719.298246,670000000.0,15540000000.0,,,,,670000000.0,670000000.0,0.0,670000000.0,30000000.0,640000000.0,-160000000.0,800000000.0,340000000.0,1140000000.0,250000000.0,-50000000.0,-890000000.0,240000000.0,1860000000.0,4020000000.0,-6000000000.0,780000000.0,430000000.0,5880000000.0,11520000000.0,17400000000.0,17400000000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,401574803.0,398437500.0,1.27,1.28,,,,,,,,,,,,0.0,,,,,,,,,,,,2022-12-31
0.0,0.216667,930000000.0,,,-470000000.0,820000000.0,5990000000.0,930000000.0,110000000.0,-710000000.0,710000000.0,-470000000.0,-480000000.0,12160000000.0,484848485.0,484848485.0,-0.99,-0.99,-480000000.0,-480000000.0,0.0,-480000000.0,0.0,-480000000.0,-10000000.0,-470000000.0,-130000000.0,-600000000.0,90000000.0,,-710000000.0,710000000.0,20000000.0,6170000000.0,3330000000.0,820000000.0,820000000.0,6190000000.0,5990000000.0,12180000000.0,12180000000.0,2024-06-30 00:00:00
