Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
22082609.0,22082609.0,138109000.0,139409000.0,129165000.0,138109000.0,139409000.0,139409000.0,139409000.0,139409000.0,-81417000.0,,220826000.0,220826000.0,23294000.0,161000.0,,,161000.0,23133000.0,237000.0,,,18000.0,1347000.0,,1347000.0,162703000.0,10404000.0,,,2303000.0,2303000.0,1300000.0,,353000.0,,,,,,152298000.0,54428000.0,,0.0,75090000.0,,9231000.0,,,13549000.0,,13549000.0,,,2024-03-31
22082609.0,22082609.0,163568000.0,164932000.0,154357000.0,163568000.0,164932000.0,164932000.0,164932000.0,164932000.0,-55894000.0,,220826000.0,220826000.0,25991000.0,1320000.0,1000.0,,1319000.0,24671000.0,273000.0,,,1605000.0,631000.0,,631000.0,190923000.0,11896000.0,-2000.0,,2846000.0,2846000.0,1364000.0,1364000.0,753000.0,,753000.0,,753000.0,,179028000.0,60923000.0,,10878000.0,61855000.0,,12531000.0,,,32841000.0,958000.0,31883000.0,,,2023-09-30
22082609.0,22082609.0,180079000.0,181569000.0,172535000.0,180079000.0,181569000.0,181569000.0,181569000.0,181569000.0,-39258000.0,-39757000.0,220826000.0,220826000.0,33392000.0,3153000.0,,3153000.0,3153000.0,30239000.0,1700000.0,0.0,759000.0,,29480000.0,25409000.0,4071000.0,214961000.0,12186000.0,,2846000.0,2846000.0,2846000.0,1490000.0,1490000.0,932000.0,-1451000.0,2383000.0,0.0,933000.0,2383000.0,202774000.0,-1000.0,128824000.0,13206000.0,26045000.0,0.0,11235000.0,-20841000.0,32076000.0,23465000.0,438000.0,23465000.0,10988000.0,12477000.0,2023-03-31
