Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
253012084.0,253012084.0,2990400000.0,10297600000.0,13288000000.0,10297600000.0,10297600000.0,13288000000.0,10297600000.0,10297600000.0,,,,2530100000.0,2530100000.0,149321300000.0,2990400000.0,,,,159618900000.0,39424000000.0,39424000000.0,,,2743400000.0,,,,,,,,9746200000.0,,7600300000.0,2024-03-31,
253012084.0,253012084.0,1500000000.0,10264500000.0,11764500000.0,10264500000.0,10264500000.0,11764500000.0,10264500000.0,10264500000.0,,,,2530100000.0,2530100000.0,148155200000.0,1500000000.0,,,,158419700000.0,37473300000.0,37473300000.0,,,2708500000.0,,,,,,,,12046800000.0,,9405000000.0,2023-12-31,
253012084.0,253012084.0,1649900000.0,10233900000.0,11883800000.0,10233900000.0,10233900000.0,11883800000.0,10233900000.0,10233900000.0,,,,2530100000.0,2530100000.0,142699100000.0,1649900000.0,,,,152933000000.0,35444100000.0,35444100000.0,,,2710300000.0,,,,,,,,9136900000.0,,,2023-09-30,
253012084.0,253012084.0,4923785000.0,9611506000.0,14535291000.0,9611506000.0,9611506000.0,14535291000.0,9611506000.0,9611506000.0,1601036000.0,-7887965000.0,10054482000.0,2530121000.0,2530121000.0,141709819000.0,4923785000.0,549058000.0,270374000.0,278684000.0,151321325000.0,38886427000.0,38886427000.0,13277000.0,0.0,2575741000.0,-2458564000.0,5034305000.0,67153000.0,2743265000.0,2223887000.0,514313000.0,2257006000.0,11019914000.0,0.0,1051031000.0,2023-03-31,
253012084.0,253012084.0,1500000000.0,10281900000.0,11781900000.0,10281900000.0,10281900000.0,11781900000.0,10281900000.0,10281900000.0,,,,2530100000.0,2530100000.0,148919900000.0,1500000000.0,,,,159201800000.0,37562200000.0,37562200000.0,,,2738200000.0,,,,,,,,8973100000.0,,8820700000.0,2024-06-30 00:00:00,
