Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Held To Maturity Securities
2349591262.0,2349591262.0,14840000000.0,55050000000.0,512310000000.0,84480000000.0,55050000000.0,14710000000.0,512180000000.0,512180000000.0,514230000000.0,2050000000.0,512180000000.0,509830000000.0,,,2350000000.0,2350000000.0,270760000000.0,142000000000.0,,42430000000.0,65570000000.0,11060000000.0,11060000000.0,15760000000.0,128760000000.0,8070000000.0,3780000000.0,3650000000.0,130000000.0,3400000000.0,104860000000.0,,,,104860000000.0,784990000000.0,571750000000.0,2920000000.0,,,100000000.0,7620000000.0,7620000000.0,,650000000.0,,457130000000.0,282470000000.0,174660000000.0,90560000000.0,,90560000000.0,10250000000.0,80310000000.0,,,,,213240000000.0,7130000000.0,,120000000.0,,,40220000000.0,,,,,380000000.0,,29970000000.0,,,135420000000.0,127170000000.0,8250000000.0,,,2024-03-31,
2349591262.0,2349591262.0,12720000000.0,46460000000.0,504600000000.0,77110000000.0,46460000000.0,11760000000.0,503640000000.0,503640000000.0,505850000000.0,2210000000.0,503640000000.0,501290000000.0,,,2350000000.0,2350000000.0,272580000000.0,135640000000.0,,39070000000.0,65170000000.0,8620000000.0,8620000000.0,15080000000.0,136940000000.0,8400000000.0,4100000000.0,3140000000.0,960000000.0,3240000000.0,110260000000.0,,,3920000000.0,106340000000.0,778430000000.0,564380000000.0,2920000000.0,,,70000000.0,7460000000.0,7460000000.0,,660000000.0,,457180000000.0,282520000000.0,174660000000.0,83690000000.0,,83690000000.0,10470000000.0,73220000000.0,,,,,214050000000.0,9100000000.0,,120000000.0,,,35810000000.0,,,,,310000000.0,60000000.0,32070000000.0,,,136580000000.0,120070000000.0,16510000000.0,,,2023-09-30,
2349591262.0,2349591262.0,12190000000.0,45750000000.0,504020000000.0,49700000000.0,45750000000.0,11210000000.0,503040000000.0,503040000000.0,505220000000.0,2180000000.0,503040000000.0,500690000000.0,95440000000.0,403560000000.0,2350000000.0,2350000000.0,225650000000.0,105370000000.0,4330000000.0,11080000000.0,64210000000.0,8070000000.0,8070000000.0,13630000000.0,120280000000.0,980000000.0,4120000000.0,3140000000.0,980000000.0,3890000000.0,108340000000.0,10360000000.0,2240000000.0,,95740000000.0,730870000000.0,560890000000.0,6080000000.0,3170000000.0,10000000.0,100000000.0,120000000.0,100000000.0,20000000.0,690000000.0,690000000.0,457290000000.0,282630000000.0,174660000000.0,80810000000.0,-47520000000.0,128330000000.0,11320000000.0,12840000000.0,67070000000.0,32340000000.0,4760000000.0,0.0,169980000000.0,7450000000.0,190000000.0,120000000.0,2240000000.0,4350000000.0,42510000000.0,1400000000.0,17470000000.0,3990000000.0,19650000000.0,4760000000.0,3100000000.0,30790000000.0,-760000000.0,31550000000.0,81920000000.0,74780000000.0,7140000000.0,6190000000.0,950000000.0,2023-03-31,
